pre_pt_root_id,post_pt_root_id,size
864691134884807418,864691135385422677,11556.0
864691134884807418,864691136904761266,1236.0
864691134886037498,864691135014276342,208.0
864691134886037498,864691135059845275,8292.0
864691134886037498,864691135397846049,3852.0
864691134886037498,864691135468948364,1132.0
864691134886037498,864691135491167207,3132.0
864691134886037498,864691135518453642,2580.0
864691134886037498,864691135576991518,2900.0
864691134886037498,864691135719761713,14288.0
864691134886037498,864691135720638769,12580.0
864691134886037498,864691135726077611,3932.0
864691134886037498,864691135937286404,11616.0
864691134886037498,864691135941708033,2592.0
864691134886037498,864691136194355176,1260.0
864691134886037498,864691136195391208,24672.0
864691134886037498,864691136275919117,4476.0
864691134886037498,864691136334080435,164.0
864691134886037498,864691136380324821,2236.0
864691134886037498,864691136420195223,3264.0
864691134886037498,864691136438426526,1728.0
864691134886037498,864691136903681458,392.0
864691134886037498,864691136904761266,9588.0
864691134886335738,864691135084038647,7628.0
864691134886335738,864691135271282085,16524.0
864691134886335738,864691135324725404,9392.0
864691134886335738,864691135360482392,4220.0
864691134886335738,864691135398746401,19864.0
864691134886335738,864691135465955397,2628.0
864691134886335738,864691135702887291,9144.0
864691134886335738,864691135763975990,9184.0
864691134886335738,864691135779780797,4136.0
864691134886335738,864691135809954845,12420.0
864691134886335738,864691135839577235,2672.0
864691134886335738,864691136021592568,2064.0
864691134886335738,864691136138622333,20656.0
864691134886335738,864691136138803837,12516.0
864691134886335738,864691136311213914,20936.0
864691134886335738,864691136312057178,11368.0
864691134886335738,864691136314120765,9824.0
864691134886335738,864691136391023120,7004.0
864691134886499066,864691135015605910,21440.0
864691134886499066,864691135470154834,12384.0
864691134886499066,864691135493665631,4568.0
864691134886499066,864691135783308368,6236.0
864691134886499066,864691135941708033,1996.0
864691134886499066,864691136052738803,12872.0
864691134886499066,864691136138622333,5896.0
864691134886499066,864691136390828919,1748.0
864691134886499066,864691136924515300,16444.0
864691134886499066,864691136927732810,6760.0
864691134886569210,864691135387529301,4708.0
864691134886569210,864691135593133067,1932.0
864691134886569210,864691136453186559,5652.0
864691134886792442,864691134990847098,2512.0
864691134886792442,864691135124209447,2292.0
864691134886792442,864691135417827770,4032.0
864691134886792442,864691135565770007,2608.0
864691134886792442,864691135938404612,1636.0
864691134886792442,864691136034526651,9808.0
