neuron_id,brain_area,layer,cell_type,pref_ori,gOSI,x,y,z,out_degree,in_degree,out_strength,in_strength
864691135763941174,V1,L2/3,23P,123.26255,0.47626,613.3947827500391,104.2640549208051,927.8800000000002,9,15,9,15
864691136488446226,V1,L2/3,23P,99.99531,0.505451,547.7387496039802,131.41306476506318,711.8800000000001,1,4,1,4
864691135694415551,V1,L4,4P,177.0789,0.449638,620.0538654218548,292.5047448737744,810.6400000000002,32,12,32,12
864691135398817569,V1,L2/3,23P,79.81989,0.22873,705.8391362714156,101.36608355883405,901.6800000000003,6,12,6,12
864691134942472035,V1,L2/3,23P,156.53249,0.0963772,669.2078129037207,164.65428407307976,834.5600000000003,25,34,25,34
864691136228491601,V1,L2/3,23P,79.250374,0.430073,713.183066043155,242.1257823632423,859.2400000000002,20,12,20,12
864691135468161164,RL,L2/3,23P,7.1328664,0.284406,1224.6317864591958,213.50456308811746,865.9200000000003,1,5,1,5
864691135849088094,V1,L5,5P-IT,90.62859,0.378287,840.5662496521345,409.7056503356246,868.2000000000003,6,17,6,17
864691135616363211,AL,L2/3,23P,86.86269,0.525087,1309.026207676307,220.37416245262423,711.2800000000001,7,8,7,8
864691135518989962,V1,L2/3,23P,86.54569,0.0576903,810.2375951457562,149.81738059681405,935.2800000000002,15,15,15,15
864691135877951571,V1,L4,4P,109.30201,0.0893769,754.7184641953937,357.0310801886039,803.7200000000003,13,5,13,5
864691136239108156,V1,L2/3,23P,16.81316,0.0501531,627.7108541846394,207.9222334243821,719.4800000000001,3,4,3,4
864691136210344892,RL,L5,5P-IT,14.446959,0.135981,1256.5432543693262,478.7993575636608,771.5600000000002,6,5,6,5
864691136006519498,V1,L4,4P,48.32311,0.195462,654.261634304255,298.77400480524085,887.8800000000002,20,10,20,10
864691135954393891,V1,L5,4P,167.38144,0.171467,650.790809120527,361.9438829161253,897.8800000000002,22,32,22,32
864691136120663064,V1,L2/3,23P,59.95144,0.446452,883.3849835105266,120.75400062452816,711.8400000000001,1,3,1,3
864691135294520844,V1,L4,4P,109.30071,0.176783,670.1099413292117,304.14370912137485,822.5200000000002,15,19,15,19
864691135398805281,V1,L2/3,23P,83.26494,0.383259,642.8053260859771,149.94518315429912,865.1200000000002,20,27,20,27
864691136275364365,AL,L4,4P,158.11572,0.171595,1326.7008516081369,342.18614052491,773.4800000000001,1,1,1,1
864691135518173395,V1,L4,4P,162.80882,0.391333,658.6851073782489,331.9256880500424,836.9600000000003,34,12,34,12
864691136905758130,V1,L4,4P,95.166,0.46423,708.944706691632,299.3822632017234,904.3200000000003,18,24,18,24
864691135462420637,RL,L4,4P,176.42902,0.340412,1240.8617946211175,356.9690271029529,753.1600000000001,3,2,3,2
864691135566945559,V1,L2/3,23P,100.61525,0.490603,495.3257078904964,157.72910767315636,684.4800000000001,1,3,1,3
864691135274816017,V1,L4,4P,125.94055,0.0751633,655.3203208728353,257.30045604522394,903.8800000000002,17,14,17,14
864691135496333968,RL,L2/3,23P,175.28784,0.319056,1258.2489554710105,214.77532806681418,885.0800000000003,9,2,9,2
864691135867644805,V1,L5,5P-IT,176.29953,0.189939,695.1709415417387,370.90195448737984,864.8000000000003,6,15,6,15
864691136904488114,V1,L5,5P-IT,21.362007,0.11228,851.5002802818195,392.6738025735906,869.1200000000002,16,26,16,26
864691134966710559,V1,L4,4P,112.598236,0.394485,678.0088929311798,333.55205575272714,868.6000000000003,30,13,30,13
864691135209194617,V1,L2/3,23P,73.22443,0.363731,936.6887950744881,145.2047764967513,958.8800000000002,8,8,8,8
864691135431089968,V1,L6,6P-IT,89.93245,0.333804,665.1715621658385,547.8406414189292,935.0800000000003,2,9,2,9
864691136389688695,V1,L1,23P,68.06968,0.658938,716.6844684649875,63.31853412906028,904.1200000000002,28,16,28,16
