id,created,valid,target_id,session,scan_idx,unit_id,field,residual,score,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
5491,2024-05-21 18:38:25.372047+00:00,True,335649,6,2,6883,6,7.41244,2.60806,335649,2020-09-28 22:41:20.303372+00:00,True,295.8611,210784,182032,22673,,,,,,,93747454767483710,864691135702330235
12542,2024-05-21 18:42:40.285576+00:00,True,194144,7,4,9575,6,8.55708,-0.7149,194144,2020-09-28 22:42:01.511773+00:00,True,213.30724,136400,170640,17951,,,,,,,83542405709639148,864691135614842827
15097,2024-05-21 18:42:41.703496+00:00,True,194144,8,5,8632,6,4.25055,7.87525,194144,2020-09-28 22:42:01.511773+00:00,True,213.30724,136400,170640,17951,,,,,,,83542405709639148,864691135614842827
12829,2024-05-21 18:42:40.443453+00:00,True,517966,7,5,1526,2,5.8237,4.16608,517966,2020-09-28 22:41:48.288009+00:00,True,313.31894,310944,115888,16752,,,,,,,107530794289274882,864691136966116814
18299,2024-05-21 18:42:43.440278+00:00,True,293318,9,4,8066,6,5.63758,8.91502,293318,2020-09-28 22:45:23.572432+00:00,True,430.1082,189472,119296,26037,,,,,,,90783515419343652,864691135430194992
5389,2024-05-21 18:38:25.314947+00:00,True,488652,6,2,5317,4,4.87698,5.54952,488652,2020-09-28 22:41:44.769373+00:00,True,328.24426,287536,142464,19382,,,,,,,104297405805551073,864691135565621079
9672,2024-05-21 18:42:38.724265+00:00,True,332833,6,7,6413,6,5.27806,7.80804,332833,2020-09-28 22:44:41.864456+00:00,True,274.41873,209328,174304,20004,,,,,,,93535317407139914,864691135387371905
16697,2024-05-21 18:42:42.574526+00:00,True,295460,9,3,7748,6,5.20837,2.99954,295460,2020-09-28 22:41:24.368712+00:00,True,208.61665,185088,157776,15691,,,,,,,90225718084406516,864691135661410544
13589,2024-05-21 18:42:40.867014+00:00,True,585835,7,5,7441,6,11.5041,-8.41839,585835,2020-09-28 22:41:12.649674+00:00,True,325.56287,338864,157856,20916,,,,,,,111336342008911475,864691135349275351
7700,2024-05-21 18:38:26.601613+00:00,True,455044,6,6,3727,4,8.72044,0.52178,455044,2020-09-28 22:44:17.012058+00:00,True,236.62215,266352,131552,16081,,,,,,,101410843782324640,864691137197706305
9013,2024-05-21 18:42:31.410144+00:00,True,455044,6,7,3379,4,4.54381,4.94069,455044,2020-09-28 22:44:17.012058+00:00,True,236.62215,266352,131552,16081,,,,,,,101410843782324640,864691137197706305
4173,2024-05-21 18:38:24.630120+00:00,True,559491,5,7,7100,6,3.27848,9.37382,559491,2020-09-28 22:41:42.606623+00:00,True,393.6887,320896,174496,26538,,,,,,,108875704443621534,864691135661411312
8800,2024-05-21 18:38:27.220461+00:00,True,188516,6,7,1299,2,10.4765,-6.97646,188516,2020-09-28 22:42:11.061225+00:00,True,212.09874,136880,112704,19473,,,,,,,83605009354235707,864691135135145753
10449,2024-05-21 18:42:39.148608+00:00,True,553321,7,3,2288,2,3.79473,10.67347,553321,2020-09-28 22:42:44.766504+00:00,True,369.11285,325216,120608,20258,,,,,,,109501806790703496,864691136602371025
259,2024-05-21 18:38:22.445730+00:00,True,327468,4,7,3035,4,12.4217,2.5528,327468,2020-09-28 22:44:21.461438+00:00,True,245.10693,200560,139264,16831,,,,,,,92334306642923516,864691135842963683
4714,2024-05-21 18:38:24.934839+00:00,True,390821,6,2,2154,2,13.5293,-7.19179,390821,2020-09-28 22:45:11.800245+00:00,True,336.33698,233744,113648,20003,,,,,,,96904839509915568,864691135065322052
1958,2024-05-21 18:38:23.391939+00:00,True,256550,5,6,2243,2,4.62874,4.76337,256550,2020-09-28 22:42:25.921109+00:00,True,391.63165,178448,119968,21422,,,,,,,89305839907142592,864691136953835487
7615,2024-05-21 18:38:26.554112+00:00,True,255487,6,6,2042,2,3.36625,6.70345,255487,2020-09-28 22:45:17.456458+00:00,True,359.3963,167584,104848,26197,,,,,,,87826104085275056,864691135464074909
1363,2024-05-21 18:38:23.061563+00:00,True,360333,5,3,1952,2,5.04467,7.63003,360333,2020-09-28 22:45:10.089236+00:00,True,331.86676,216560,120384,27425,,,,,,,94513196500867187,864691135783544627
1586,2024-05-21 18:38:23.184991+00:00,True,267008,5,3,7019,6,4.30905,3.45963,267008,2020-09-28 22:45:25.180158+00:00,True,479.08963,169216,196416,20820,,,,,,,88049510366229524,864691136313000765
198,2024-05-21 18:38:22.410784+00:00,True,424095,4,7,2891,4,6.93272,0.83573,424095,2020-09-28 22:44:36.068663+00:00,True,265.81534,252688,128016,22116,,,,,,,99510407458353082,864691136923754212
13193,2024-05-21 18:42:40.645692+00:00,True,424095,7,5,4332,4,4.63443,6.30007,424095,2020-09-28 22:44:36.068663+00:00,True,265.81534,252688,128016,22116,,,,,,,99510407458353082,864691136923754212
13786,2024-05-21 18:42:40.976984+00:00,True,424095,8,5,1788,2,3.20329,11.25521,424095,2020-09-28 22:44:36.068663+00:00,True,265.81534,252688,128016,22116,,,,,,,99510407458353082,864691136923754212
11785,2024-05-21 18:42:39.875569+00:00,True,294576,7,4,5439,4,1.79832,11.98658,294576,2020-09-28 22:44:55.293087+00:00,True,296.5653,188320,131408,21605,,,,,,,90644426661199216,864691136389921911
13868,2024-05-21 18:42:41.021446+00:00,True,294576,8,5,2014,2,7.29552,9.20468,294576,2020-09-28 22:44:55.293087+00:00,True,296.5653,188320,131408,21605,,,,,,,90644426661199216,864691136389921911
18984,2024-05-21 18:42:43.813740+00:00,True,294576,9,6,4657,4,5.13445,10.79185,294576,2020-09-28 22:44:55.293087+00:00,True,296.5653,188320,131408,21605,,,,,,,90644426661199216,864691136389921911
11517,2024-05-21 18:42:39.730361+00:00,True,256578,7,4,2673,2,6.22704,1.1311,256578,2020-09-28 22:44:13.681916+00:00,True,230.85744,165328,114000,22174,,,,,,,87475496778176304,864691136619416973
9914,2024-05-21 18:42:38.856716+00:00,True,396066,6,7,6980,6,2.2818,10.6017,396066,2020-09-28 22:41:10.542616+00:00,True,264.59668,245616,166736,16945,,,,,,,98530467048957998,864691136673575047
11224,2024-05-21 18:42:39.571080+00:00,True,464805,7,3,9003,8,7.37705,5.31015,464805,2020-09-28 22:41:40.933097+00:00,True,482.4077,276400,193984,26189,,,,,,,102756235039865583,864691135544785448
15795,2024-05-21 18:42:42.084706+00:00,True,227790,9,3,2533,2,5.66779,7.31941,227790,2020-09-28 22:44:06.507628+00:00,True,217.18712,154320,160640,19029,,,,,,,86004006220087587,864691135577813765
3464,2024-05-21 18:38:24.238180+00:00,True,516758,5,7,2529,2,3.95992,9.18728,516758,2020-09-28 22:41:10.190646+00:00,True,307.9599,310496,110640,19081,,,,,,,107459738685597940,864691136309871706
2669,2024-05-21 18:38:23.791811+00:00,True,462014,5,6,6857,6,6.30886,4.34654,462014,2020-09-28 22:45:24.761754+00:00,True,438.49106,270400,180352,21928,,,,,,,101980322824429100,864691135737772676
4293,2024-05-21 18:38:24.699106+00:00,True,462014,5,7,7489,6,6.14745,4.96245,462014,2020-09-28 22:45:24.761754+00:00,True,438.49106,270400,180352,21928,,,,,,,101980322824429100,864691135737772676
6006,2024-05-21 18:38:25.665649+00:00,True,189004,6,4,1738,2,6.7837,2.56006,189004,2020-09-28 22:45:00.871582+00:00,True,307.17673,132032,112368,22787,,,,,,,82901322315425098,864691135866987798
3601,2024-05-21 18:38:24.315252+00:00,True,456149,5,7,4384,4,3.44939,8.13901,456149,2020-09-28 22:40:58.839136+00:00,True,289.30524,271184,142656,24723,,,,,,,102045675449188892,864691135759371086
6421,2024-05-21 18:38:25.894661+00:00,True,328546,6,4,4299,4,3.99222,4.58609,328546,2020-09-28 22:43:43.775138+00:00,True,302.6949,210240,142528,23071,,,,,,,93671725971086262,864691135013895574
16212,2024-05-21 18:42:42.311464+00:00,True,116028,9,3,5086,4,2.73602,10.47298,116028,2020-09-28 22:41:14.754883+00:00,True,241.04533,109664,163600,17036,,,,,,,79882337525130587,864691135659114626
2454,2024-05-21 18:38:23.671043+00:00,True,296761,5,6,5174,4,1.51758,9.72502,296761,2020-09-28 22:44:15.531111+00:00,True,234.56071,186720,153056,22293,,,,,,,90436206713993499,864691135939049988
634,2024-05-21 18:38:22.658136+00:00,True,554900,4,7,3899,4,4.2702,8.1483,554900,2020-09-28 22:45:17.886089+00:00,True,364.66312,319856,127568,20741,,,,,,,108728644025000535,864691135463695429
2633,2024-05-21 18:38:23.771988+00:00,True,527507,5,6,6776,6,4.76078,7.69322,527507,2020-09-28 22:44:53.518258+00:00,True,293.71515,306656,179552,21952,,,,,,,106906066197448330,864691135841932515
16386,2024-05-21 18:42:42.405101+00:00,True,115907,9,3,5497,4,1.69486,14.39684,115907,2020-09-28 22:40:58.976308+00:00,True,223.7884,113920,163600,16261,,,,,,,80445287344571872,864691135303185575
17364,2024-05-21 18:42:42.934949+00:00,True,106431,9,4,2536,2,8.65083,1.03012,106431,2020-09-28 22:43:14.353734+00:00,True,289.36652,110288,126400,16890,,,,,,,79947689680746397,864691135725228203
17250,2024-05-21 18:42:42.873624+00:00,True,106436,9,4,2212,2,9.08338,2.08502,106436,2020-09-28 22:41:20.272045+00:00,True,315.4261,110768,126704,17166,,,,,,,80018127211293829,864691135133547168
17843,2024-05-21 18:42:43.193317+00:00,True,109717,9,4,5391,4,7.63814,8.40996,109717,2020-09-28 22:43:31.758057+00:00,True,317.98526,113280,128928,19841,,,,,,,80370246145733998,864691137020483694
9462,2024-05-21 18:42:31.667133+00:00,True,489327,6,7,4432,4,2.40335,9.31345,489327,2020-09-28 22:42:58.010849+00:00,True,315.42984,294096,130512,23526,,,,,,,105210619468793475,864691136379765205
18209,2024-05-21 18:42:43.391445+00:00,True,109157,9,4,7830,6,5.69976,2.01372,109157,2020-09-28 22:40:59.254780+00:00,True,256.9986,111984,133232,16471,,,,,,,80159689266059397,864691135233954137
18182,2024-05-21 18:42:43.377008+00:00,True,109133,9,4,7759,6,12.6617,-6.95123,109133,2020-09-28 22:44:18.907692+00:00,True,239.71857,107680,130560,15970,,,,,,,79596395648136412,864691135526839899
14398,2024-05-21 18:42:41.316261+00:00,True,109255,8,5,5129,4,7.48627,-2.41007,109255,2020-09-28 22:41:57.458376+00:00,True,257.7698,114080,141136,17008,,,,,,,80442263821558021,864691136324904087
17222,2024-05-21 18:42:42.858515+00:00,True,109227,9,4,2100,2,3.56707,5.99326,109227,2020-09-28 22:45:01.059105+00:00,True,308.02673,108624,129984,16824,,,,,,,79737064484508999,864691134989722746
4751,2024-05-21 18:38:24.955386+00:00,True,390011,6,2,2262,2,1.93828,6.04061,390011,2020-09-28 22:45:19.719082+00:00,True,377.27567,243232,104192,26468,,,,,,,98170240760207669,864691135494448016
3340,2024-05-21 18:38:24.168289+00:00,True,389773,5,7,2171,2,10.4787,-0.6786,389773,2020-09-28 22:42:01.880236+00:00,True,319.6081,240816,109040,24200,,,,,,,97889383990111952,864691136330207722
17124,2024-05-21 18:42:42.805514+00:00,True,389773,9,4,1747,2,6.06714,5.97406,389773,2020-09-28 22:42:01.880236+00:00,True,319.6081,240816,109040,24200,,,,,,,97889383990111952,864691136330207722
7162,2024-05-21 18:38:26.303349+00:00,True,587437,6,4,7483,6,9.3524,4.2776,587437,2020-09-28 22:45:19.393896+00:00,True,371.92776,340320,169072,19614,,,,,,,111548959935396631,864691135292343990
16040,2024-05-21 18:42:42.217294+00:00,True,458010,9,3,4609,4,1.9548,9.1118,458010,2020-09-28 22:42:11.508305+00:00,True,250.84018,277808,150592,23617,,,,,,,102961499781319724,864691136195216460
5260,2024-05-21 18:38:25.242681+00:00,True,424700,6,2,5005,4,1.65629,8.08832,424700,2020-09-28 22:42:41.435099+00:00,True,355.84344,249008,143072,26779,,,,,,,99019888437449423,864691135463090077
6569,2024-05-21 18:38:25.976657+00:00,True,489554,6,4,4671,4,7.43675,-0.55932,489554,2020-09-28 22:45:21.168937+00:00,True,386.0842,287520,134784,26175,,,,,,,104296375952447846,864691135416661690
12402,2024-05-21 18:42:40.208397+00:00,True,457447,7,4,9229,6,6.74825,0.82918,457447,2020-09-28 22:41:20.649956+00:00,True,307.4646,269920,159344,20254,,,,,,,101907136380311435,864691134940425315
8641,2024-05-21 18:38:27.130737+00:00,True,590575,6,6,8326,8,14.5448,-1.0268,590575,2020-09-28 22:42:42.737853+00:00,True,330.06815,335520,195632,20257,,,,,,,110919214717821867,864691136991031445
16498,2024-05-21 18:42:42.465408+00:00,True,490669,9,3,5774,4,4.82849,3.66745,490669,2020-09-28 22:44:48.288091+00:00,True,285.57443,290960,151696,19193,,,,,,,104791223965116502,864691135684176114
