id,created,superceded_id,valid,pt_position_x,pt_position_y,pt_position_z,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id
1526,2024-08-02 20:25:56.067777+00:00,,True,169536,120704,21696,864691136195824204,True,True,dendrite_extended,axon_partially_extended,88109708761918664,864691136195824204
1527,2024-08-02 20:25:56.082847+00:00,,True,169328,130912,22110,864691135701896315,True,True,dendrite_clean,axon_partially_extended,88040714474248621,864691135701896315
1528,2024-08-02 20:25:56.097687+00:00,,True,179216,115136,20457,864691135136188185,True,True,dendrite_clean,axon_partially_extended,89375590041880542,864691135136188185
1529,2024-08-02 20:25:56.112829+00:00,,True,179216,110976,20613,864691136445237123,True,True,dendrite_extended,axon_partially_extended,89375040352754208,864691136445237123
1531,2024-08-02 20:25:56.142982+00:00,,True,187568,113216,21732,864691135610849031,True,True,dendrite_extended,axon_partially_extended,90571584016011523,864691135610849031
1532,2024-08-02 20:25:56.159197+00:00,,True,173360,113488,21523,864691135519025802,True,True,dendrite_clean,axon_partially_extended,88601327898256679,864691135519025802
1533,2024-08-02 20:25:56.173122+00:00,,True,185936,133408,20157,864691136674274951,True,True,dendrite_extended,axon_partially_extended,90363226361177973,864691136674274951
1534,2024-08-02 20:25:56.187497+00:00,,True,177392,130416,22352,864691136663700958,True,True,dendrite_clean,axon_partially_extended,89166545661876847,864691136663700958
1535,2024-08-02 20:25:56.201735+00:00,,True,172352,139920,21312,864691136330407914,True,True,dendrite_clean,axon_partially_extended,88464095036445073,864691136330407914
1536,2024-08-02 20:25:56.214415+00:00,,True,181376,125680,22521,864691135953669667,True,True,dendrite_clean,axon_partially_extended,89728877140222276,864691135953669667
1537,2024-08-02 20:25:56.226958+00:00,,True,179840,132976,21342,864691135492023271,True,True,dendrite_clean,axon_partially_extended,89518732845960346,864691135492023271
1538,2024-08-02 20:25:56.242728+00:00,,True,187888,124512,21300,864691136904595890,True,True,dendrite_clean,axon_partially_extended,90573095777456657,864691136904595890
3625,2025-04-24 22:35:11.897285+00:00,,True,184160,183312,22166,864691135280481697,True,True,dendrite_extended,axon_partially_extended,90088417442091280,864691135280481697
1540,2024-08-02 20:25:56.272542+00:00,,True,188352,114080,21059,864691136674275975,True,True,dendrite_clean,axon_partially_extended,90642090131819352,864691136674275975
1541,2024-08-02 20:25:56.286007+00:00,,True,168992,133520,20745,864691135276132325,True,True,dendrite_clean,axon_partially_extended,87970689126320793,864691135276132325
1542,2024-08-02 20:25:56.299512+00:00,,True,180112,114928,21520,864691136090670903,True,True,dendrite_clean,axon_partially_extended,89516327730992048,864691136090670903
1543,2024-08-02 20:25:56.312663+00:00,,True,184464,121424,21520,864691135479592902,True,True,dendrite_clean,axon_partially_extended,90150471062313845,864691135479592902
1546,2024-08-02 20:25:56.353433+00:00,,True,184464,106672,20599,864691136380268245,True,True,dendrite_clean,axon_partially_extended,90148478063383840,864691136380268245
1547,2024-08-02 20:25:56.368271+00:00,,True,183184,110368,20625,864691136389679223,True,True,dendrite_clean,axon_partially_extended,89937921586703630,864691136389679223
1549,2024-08-02 20:25:56.397548+00:00,,True,191632,104032,21899,864691135955081992,True,True,dendrite_clean,axon_partially_extended,91133297019030459,864691135955081992
1550,2024-08-02 20:25:56.411019+00:00,,True,185888,115520,22631,864691135970226021,True,True,dendrite_clean,axon_partially_extended,90290452770764125,864691135970226021
1552,2024-08-02 20:25:56.438014+00:00,,True,175504,113856,20280,864691135273844753,True,True,dendrite_clean,axon_partially_extended,88882802673982755,864691135273844753
1553,2024-08-02 20:25:56.452520+00:00,,True,192816,122096,22190,864691137198748225,True,True,dendrite_clean,axon_partially_extended,91276508475376746,864691137198748225
1554,2024-08-02 20:25:56.466270+00:00,,True,178720,132192,20263,864691135234387801,True,True,dendrite_clean,axon_partially_extended,89307489040220487,864691135234387801
1555,2024-08-02 20:25:56.478891+00:00,,True,176848,122368,21671,864691135489685818,True,True,dendrite_clean,axon_partially_extended,89095077338779923,864691135489685818
1557,2024-08-02 20:25:56.506698+00:00,,True,178320,131264,22063,864691135816765775,True,True,dendrite_clean,axon_partially_extended,89307351869365118,864691135816765775
2923,2025-01-06 21:08:37.288207+00:00,,True,183472,155184,20572,864691135476495936,True,True,dendrite_extended,axon_fully_extended,90014268925302892,864691135476495936
1559,2024-08-02 20:25:56.534068+00:00,,True,170320,132992,20225,864691135801170018,True,True,dendrite_extended,axon_partially_extended,88181726572292650,864691135801170018
1560,2024-08-02 20:25:56.548161+00:00,,True,176720,131456,20771,864691136904615602,True,True,dendrite_clean,axon_partially_extended,89096314155289439,864691136904615602
1562,2024-08-02 20:25:56.575457+00:00,,True,181136,123120,21543,864691135993150913,True,True,dendrite_clean,axon_partially_extended,89658164731009154,864691135993150913
1563,2024-08-02 20:25:56.589386+00:00,,True,172944,142032,20549,864691136311115610,True,True,dendrite_clean,axon_partially_extended,88534807310615868,864691136311115610
1564,2024-08-02 20:25:56.602740+00:00,,True,170928,142608,21356,864691135655526082,True,True,dendrite_extended,axon_partially_extended,88253401120843383,864691135655526082
1565,2024-08-02 20:25:56.615465+00:00,,True,180768,121968,22131,864691135464101789,True,True,dendrite_clean,axon_partially_extended,89587589895595217,864691135464101789
1567,2024-08-02 20:25:56.645255+00:00,,True,180048,108416,22594,864691136009871790,True,True,dendrite_clean,axon_partially_extended,89515434512067690,864691136009871790
1548,2024-08-02 20:25:56.382744+00:00,,True,182080,112288,21095,864691135473346354,True,True,dendrite_clean,axon_partially_extended,89797390323831708,864691136603811281
1570,2024-08-02 20:25:56.686993+00:00,,True,187296,137568,22530,864691135234382937,True,True,dendrite_extended,axon_partially_extended,90504513940629481,864691135234382937
1573,2024-08-02 20:47:40.618591+00:00,,True,184320,108624,22468,864691135911301033,True,True,dendrite_clean,axon_partially_extended,90078384398822296,864691135911301033
1574,2024-08-02 20:47:40.634924+00:00,,True,187312,105008,21563,864691136052366067,True,True,dendrite_clean,axon_partially_extended,90500115759990681,864691136052366067
1575,2024-08-02 20:47:40.649297+00:00,,True,189648,108816,21882,864691136106958809,True,True,dendrite_clean,axon_partially_extended,90852509237063649,864691136106958809
