id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id,id,created,valid,target_id,classification_system,cell_type
336365,2020-09-28 22:42:48.966292+00:00,True,272.4882,209760,180832,27076,,,,,,,93606511657924288,864691136274724621,36916,2023-12-19 22:47:18.659864+00:00,True,336365,excitatory_neuron,5P-IT
110648,2020-09-28 22:45:09.650639+00:00,True,328.53345,106448,129632,25410,,,,,,,79385153184885329,864691135489403194,1070,2023-12-19 22:38:00.472115+00:00,True,110648,excitatory_neuron,23P
112071,2020-09-28 22:43:34.088785+00:00,True,272.9294,103696,149472,15583,,,,,,,79035988248401958,864691136147292311,1099,2023-12-19 22:38:00.898837+00:00,True,112071,excitatory_neuron,23P
197927,2020-09-28 22:43:10.652649+00:00,True,91.30885,143600,186192,26471,,,,,,,84529699506051734,864691135655940290,13259,2023-12-19 22:41:14.417986+00:00,True,197927,nonneuron,oligo
198087,2020-09-28 22:41:36.677186+00:00,True,161.74498,137952,190944,27361,,,,,,,83756261929388963,864691135809440972,13271,2023-12-19 22:41:14.685474+00:00,True,198087,nonneuron,astrocyte
205215,2020-09-28 22:40:42.645374+00:00,True,60.997303,146784,257680,20494,,,,,,,84961463239756140,864691136111331806,15044,2023-12-19 22:41:41.345245+00:00,True,205215,nonneuron,pericyte
205252,2020-09-28 22:43:21.808244+00:00,True,277.79333,134928,246976,21755,,,,,,,83341539149175019,864691135470637650,15052,2023-12-19 22:41:41.451010+00:00,True,205252,excitatory_neuron,6P-CT
205254,2020-09-28 22:41:06.780226+00:00,True,266.3321,135840,244512,21649,,,,,,,83482001759468665,864691135475514432,15053,2023-12-19 22:41:41.463904+00:00,True,205254,excitatory_neuron,6P-IT
205255,2020-09-28 22:44:25.075535+00:00,True,250.3249,136224,245088,21377,,,,,,,83482070412106402,864691136194010582,15054,2023-12-19 22:41:41.476190+00:00,True,205255,excitatory_neuron,6P-CT
205256,2020-09-28 22:40:50.950366+00:00,True,80.63353,135344,257136,21789,,,,,,,83413282282869629,864691135256178863,15055,2023-12-19 22:41:41.489367+00:00,True,205256,nonneuron,microglia
