matrix_index,nucleus_id,pt_root_id,classification_system,cell_type,layer,brain_area,strategy_axon,strategy_dendrite,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,functional_unit_id,cc_abs,h5_key
0,262198,864691135214931072,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,595.7081749570898,335.79561296155777,759.4000000000001,8.0,5.0,8361,0.906062,8_5
1,396772,864691135860969064,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,895.7132179682765,345.5318245377308,847.6000000000003,8.0,5.0,8306,0.891495,8_5
2,396178,864691135977134403,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,910.0854733046311,342.80607683358977,718.0000000000001,4.0,7.0,5734,0.886413,4_7
3,294715,864691135842486243,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,711.3217876633166,207.59215036785633,878.0000000000002,4.0,7.0,3120,0.883082,4_7
4,394533,864691136138131325,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,880.8881064677305,260.90971827112713,835.4800000000002,6.0,2.0,4393,0.880466,6_2
5,301095,864691135617152361,excitatory_neuron,5P-IT,L5,V1,axon_fully_extended,dendrite_extended,673.1745870290437,406.4320486070391,850.2000000000003,5.0,7.0,7043,0.878471,5_7
6,262773,864691136023889209,excitatory_neuron,4P,L4,V1,axon_interareal,dendrite_extended,613.3651884838455,307.2739897027744,860.1200000000002,9.0,3.0,7844,0.878076,9_3
7,301189,864691135689417440,excitatory_neuron,5P-IT,L5,V1,axon_fully_extended,dendrite_extended,658.9599019819995,388.99881846993213,875.0000000000002,6.0,4.0,6882,0.869982,6_4
8,296507,864691136336039091,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,678.4350146417462,240.56334458686686,823.7200000000003,6.0,6.0,4827,0.866929,6_6
9,262677,864691136438666398,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,627.4860597022574,344.8717756486652,819.2400000000002,4.0,7.0,6329,0.851952,4_7
10,489675,864691135440543560,excitatory_neuron,4P,L2/3,RL,axon_interareal,dendrite_extended,1110.7384995756065,244.20694089265373,1078.0000000000002,6.0,4.0,4754,0.847048,6_4
11,559381,864691135809608652,excitatory_neuron,5P-IT,L5,RL,axon_interareal,dendrite_extended,1188.4330884463805,407.6965979973203,1047.8400000000001,5.0,7.0,7030,0.846506,5_7
12,493885,864691136084313196,excitatory_neuron,5P-ET,L5,RL,axon_interareal,dendrite_extended,1093.7635592789063,403.71846687721535,1005.0000000000002,6.0,2.0,7324,0.841667,6_2
13,294545,864691136390474359,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,681.8009857055245,207.96466046008334,844.6400000000002,8.0,5.0,2039,0.839235,8_5
14,298938,864691135810492189,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,691.4233563371827,343.97687285083515,851.1200000000002,8.0,5.0,8165,0.834933,8_5
15,294591,864691136579129876,excitatory_neuron,4P,L2/3,V1,axon_partially_extended,dendrite_clean,712.5207907484494,241.61812949560297,846.2800000000002,6.0,6.0,4042,0.821886,6_6
16,300958,864691136675427975,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,677.2197407557666,389.56843584680354,830.2400000000002,6.0,4.0,7183,0.82043,6_4
17,335092,864691136314473021,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,743.694030174337,414.01507877167427,780.8000000000002,5.0,7.0,6862,0.816924,5_7
18,301192,864691134949248508,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,663.4970441151082,395.88445840126514,894.6000000000003,6.0,2.0,6950,0.815766,6_2
19,256443,864691136042982742,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,650.1273768615357,116.92167751906801,817.4400000000003,6.0,4.0,1781,0.811152,6_4
20,256595,864691135994226881,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,631.3493939732721,105.38516857363395,901.4800000000002,6.0,4.0,1640,0.810469,6_4
21,300763,864691135015154934,excitatory_neuron,5P-IT,L5,V1,axon_fully_extended,dendrite_extended,663.2824512434541,377.0420543641091,807.4400000000003,6.0,6.0,6978,0.808905,6_6
22,264870,864691136953873631,excitatory_neuron,5P-IT,L5,V1,axon_interareal,dendrite_extended,594.8143707749246,369.5100062392655,848.3200000000003,6.0,7.0,6868,0.808387,6_7
23,582010,864691135387690069,excitatory_neuron,23P,L2/3,AL,axon_fully_extended,dendrite_extended,1325.6737825447049,218.81114645747778,700.9600000000002,4.0,7.0,2607,0.806907,4_7
24,301182,864691136380757461,excitatory_neuron,5P-IT,L5,V1,axon_fully_extended,dendrite_extended,654.4907070787979,400.4287969877246,877.6800000000003,6.0,2.0,7263,0.80641,6_2
25,367994,864691135849088094,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,840.5662496521345,409.7056503356246,868.2000000000003,5.0,6.0,6947,0.805571,5_6
26,298946,864691135567059223,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,699.6152522913819,343.60141489636425,846.0000000000002,4.0,7.0,5965,0.79814,4_7
27,557121,864691135593659947,excitatory_neuron,4P,L4,RL,axon_interareal,dendrite_extended,1224.3406632327212,334.3229404289303,1020.2800000000002,7.0,5.0,7366,0.795849,7_5
28,194975,864691135646147567,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,517.155591232016,342.9284467683476,869.8400000000003,4.0,7.0,6289,0.79505,4_7
29,296511,864691136742244188,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,680.5989482887039,258.4198933903608,824.4400000000003,6.0,4.0,4360,0.794839,6_4
30,258382,864691135741930603,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,656.6107097945063,197.02354902080174,897.8000000000003,8.0,5.0,5685,0.794313,8_5
31,525498,864691135233242713,excitatory_neuron,5P-ET,L5,RL,axon_interareal,dendrite_extended,1132.0449207701688,370.7695267064712,984.6800000000003,6.0,6.0,6337,0.793051,6_6
32,296602,864691136034181307,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,666.3911419380581,285.70141590473946,860.8800000000002,5.0,6.0,5161,0.792248,5_6
33,264580,864691135571192966,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,605.2620201400699,402.09658063337724,810.0800000000003,6.0,2.0,7068,0.792179,6_2
34,264918,864691135994235841,excitatory_neuron,5P-IT,L5,V1,axon_fully_extended,dendrite_extended,636.1130662985634,412.9547450697128,852.8800000000002,5.0,7.0,7239,0.791789,5_7
35,260489,864691135662059248,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,603.3631696552306,286.48314086603773,838.0800000000003,5.0,6.0,4780,0.786636,5_6
36,518134,864691136136778621,excitatory_neuron,23P,L2/3,RL,axon_interareal,dendrite_clean,1193.6328517519696,162.48066657856882,742.7200000000001,5.0,6.0,1466,0.785517,5_6
37,262937,864691135396940021,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,641.1282081577531,333.60188188172054,899.6800000000003,4.0,7.0,6159,0.783643,4_7
38,296641,864691136021865976,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,696.9286946513126,270.7701209078143,858.2800000000002,5.0,7.0,4656,0.782039,5_7
39,330326,864691136378815445,excitatory_neuron,4P,L4,V1,axon_interareal,dendrite_extended,769.9898125720638,294.8293696111737,820.2000000000003,5.0,6.0,4909,0.781955,5_6
40,292881,864691135861093992,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,719.9657589229946,154.31880092498898,875.8400000000003,9.0,4.0,7795,0.778901,9_4
41,299038,864691135493149927,excitatory_neuron,4P,L5,V1,axon_fully_extended,dendrite_extended,669.4403831117119,364.6676652031891,886.4000000000002,6.0,7.0,6975,0.778331,6_7
42,493968,864691135117980637,excitatory_neuron,4P,L4,RL,axon_partially_extended,dendrite_extended,1108.5288732737515,344.36348516014607,1029.3200000000002,4.0,7.0,5631,0.774783,4_7
43,260700,864691135157198692,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,633.3560177927385,237.3903770346911,874.9600000000003,6.0,6.0,4105,0.773616,6_6
44,258489,864691136373008520,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_extended,663.1217877470914,193.09608165679225,914.4800000000002,8.0,5.0,2446,0.77267,8_5
45,264928,864691135587519868,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,643.037520715139,387.413057203936,856.5600000000003,6.0,4.0,7018,0.77175,6_4
46,258316,864691135739587697,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,658.756464518673,228.3056015216163,858.5600000000003,6.0,6.0,4267,0.769595,6_6
47,610498,864691135952122147,excitatory_neuron,23P,L2/3,AL,axon_fully_extended,dendrite_extended,1333.3576208781249,183.12102540884777,791.5200000000002,7.0,5.0,2237,0.769448,7_5
48,264889,864691135324623260,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,614.9838398630295,381.296743391844,851.6800000000003,6.0,6.0,6825,0.767697,6_6
49,230236,864691137199828801,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,584.5714012533472,395.5322952888484,792.3600000000002,6.0,2.0,6983,0.767578,6_2
50,262772,864691135280944545,excitatory_neuron,4P,L5,V1,axon_fully_extended,dendrite_extended,608.851052083405,361.8080754524981,846.0800000000003,6.0,7.0,7025,0.765639,6_7
51,262820,864691135465100189,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,648.5189864951878,317.41644016495223,846.9600000000003,7.0,3.0,5156,0.763416,7_3
52,301225,864691136905560754,excitatory_neuron,5P-ET,L5,V1,axon_partially_extended,dendrite_extended,688.6721467874567,404.06173016125496,881.3600000000002,6.0,2.0,6931,0.762247,6_2
53,256437,864691136604001745,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,640.1834500566191,159.3524691649761,822.7200000000003,9.0,4.0,5280,0.762188,9_4
54,582444,864691135455123562,excitatory_neuron,23P,L2/3,RL,axon_interareal,dendrite_clean,1300.4093745699058,206.5144154413534,869.8800000000002,8.0,5.0,1551,0.761224,8_5
55,192545,864691136125411622,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,532.2172021944762,268.43769285072705,791.7600000000002,6.0,2.0,4673,0.761066,6_2
56,557030,864691135700409211,excitatory_neuron,4P,L4,RL,axon_interareal,dendrite_extended,1208.5354771059908,336.5378561156796,983.2000000000003,8.0,5.0,8232,0.760413,8_5
57,298610,864691135101595680,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,715.394224888125,349.0292977056404,760.3200000000002,8.0,5.0,7880,0.75707,8_5
58,260518,864691136101340021,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,631.5606925781636,256.442402842303,830.0400000000003,6.0,4.0,4417,0.756511,6_4
59,255125,864691136011684526,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,653.8218989654686,102.59716725087556,820.0400000000003,6.0,6.0,1672,0.755998,6_6
60,335175,864691136991390869,excitatory_neuron,5P-IT,L5,V1,axon_interareal,dendrite_extended,726.6504774327707,425.2443661019303,790.5200000000002,5.0,6.0,6994,0.755089,5_6
61,585723,864691135915343462,excitatory_neuron,4P,L4,RL,axon_interareal,dendrite_extended,1269.7161883368517,342.9183862884774,800.6400000000002,7.0,5.0,6684,0.753764,7_5
62,262688,864691136381301461,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,634.331151018779,348.87560042860764,829.7600000000002,4.0,7.0,6314,0.752539,4_7
63,258307,864691136144674612,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,649.1258863409307,212.81529603843106,844.5200000000002,8.0,5.0,5493,0.751455,8_5
64,225880,864691135368949241,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,578.7177426112797,251.69075483372745,752.4800000000001,6.0,4.0,4888,0.749696,6_4
65,301241,864691135405733870,excitatory_neuron,5P-IT,L5,V1,axon_fully_extended,dendrite_extended,704.1773942218033,376.63674115488175,888.5200000000002,6.0,6.0,6968,0.749049,6_6
66,518853,864691136137834877,excitatory_neuron,23P,L2/3,RL,axon_interareal,dendrite_extended,1157.4224768804454,168.820850776497,923.2000000000003,7.0,5.0,2245,0.748279,7_5
67,300817,864691136619693275,excitatory_neuron,5P-IT,L5,V1,axon_partially_extended,dendrite_extended,684.4702895728362,376.4544601776447,809.1600000000002,6.0,7.0,7157,0.746542,6_7
68,558663,864691137054934902,excitatory_neuron,4P,L4,RL,axon_partially_extended,dendrite_extended,1202.3066501455817,351.9255328310671,758.6800000000002,8.0,5.0,7473,0.746439,8_5
69,396875,864691136674492295,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,871.3217186781163,354.83336045273495,880.8400000000003,4.0,7.0,5807,0.745865,4_7
70,258301,864691135493686111,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,645.2477247090211,196.92883921644645,859.0800000000003,9.0,6.0,4737,0.738741,9_6
71,260739,864691136620914829,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,654.642265473122,270.9252059098974,892.6800000000003,5.0,6.0,5065,0.738441,5_6
72,300897,864691135362104647,excitatory_neuron,5P-ET,L5,V1,axon_partially_extended,dendrite_extended,652.5113089355399,421.5847859977063,836.8400000000003,5.0,6.0,7590,0.736284,5_6
73,294671,864691135731679929,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_extended,698.4074050927735,231.83885378959292,901.5600000000003,6.0,7.0,3737,0.735825,6_7
