id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size
172487864,90082919682872707,864691135717271834,90082919682881173,864691136144674612,10980.0
165320576,89807148556849377,864691136336039091,89807148556842728,864691135362104647,18328.0
145019113,88250240025031796,864691136914414321,88250240025036333,864691135994226881,908.0
359079625,105498897874955407,864691135867905302,105498897874961690,864691136023980601,472.0
182492521,91071449556866175,864691135750649129,91071449556861804,864691136299034139,3796.0
159768399,89453174532163999,864691136101464181,89453174532160776,864691135689417440,14720.0
151613544,88746807097865304,864691134966710559,88746807097865481,864691135988557315,21356.0
410448761,109993082262836664,864691135562842337,109993082262832868,864691135463695429,3324.0
161399997,89450906655350798,864691136484732972,89450906655351383,864691135988557315,11176.0
158709326,89098307154477988,864691135135019168,89098307154486318,864691135774389755,5688.0
388035457,107536567060697696,864691137054934902,107536567060697696,864691137054934902,180.0
188108627,91280425552594493,864691135810473245,91280425552601083,864691135810773452,1404.0
158042467,89166889125030130,864691135782506832,89166889125020052,864691136604001745,2104.0
158279120,89448638979708096,864691136389921911,89378270235493767,864691136604001745,10304.0
159218022,89029931140593549,864691136043283030,89100299884740534,864691135362104647,1412.0
158381642,89103117450605361,864691135587519868,89103117450605361,864691135587519868,412.0
124777339,86496587899184329,864691136445557123,86496519179720408,864691135866576604,2064.0
242006107,96071822281361229,864691135849088094,96071822281361229,864691135849088094,200.0
174356236,90086699119757221,864691136299034139,90086699119757221,864691136299034139,2912.0
126680807,86497481185547641,864691136288644291,86497481185544690,864691136274655166,2812.0
174882425,90014681510604933,864691136363303138,90014681510596903,864691135990004992,768.0
213987332,93746149030329354,864691136196517452,93746149030323765,864691136299034139,1684.0
168744159,89945480796395991,864691136299034139,89945480796395991,864691136299034139,492.0
181399884,91005134926420740,864691135396940021,91005134926415517,864691135656579010,14792.0
180365598,90649580421140190,864691136299034139,90649580421140190,864691136299034139,568.0
184494874,91345502561645170,864691136336039091,91345502561646833,864691135994226881,13188.0
174489668,90083675529954381,864691136391042167,90083675529954381,864691136391042167,296.0
171897480,90295812756114814,864691135014966262,90225444011915866,864691136391042167,3148.0
183349740,91077428017455203,864691136391042167,91077428017448656,864691135503182685,17252.0
162387703,89458259572012645,864691136391042167,89458259572002410,864691135503182685,23700.0
168222189,89803781168248089,864691136391042167,89803781168248089,864691136391042167,768.0
171355238,90150952031579564,864691135773073147,90150952031569782,864691136391042167,1664.0
175358574,90437031347502671,864691136391042167,90437031347502671,864691136391042167,688.0
185652470,91565817472345445,864691134949248508,91565817472345445,864691134949248508,256.0
146104836,87903069496518232,864691136275894285,87903069496520317,864691135396940021,5360.0
358181340,105633106476067264,864691136023980601,105633106476067264,864691136023980601,2240.0
244951841,95858448239329458,864691135849088094,95858448239329458,864691135849088094,216.0
209496860,93183886405727822,864691135849088094,93183886405727822,864691135849088094,248.0
148348154,87975705111277417,864691135384843738,87975705111246921,864691135360096071,1248.0
232230805,95355421602159250,864691135540440178,95355421602155786,864691135849088094,2680.0
206607374,93395542126027735,864691136108378073,93395542126021078,864691136314473021,736.0
151185800,88461896348603142,864691135455400554,88461896348624414,864691135816565839,18588.0
176194623,90510767278897117,864691135993150913,90510767278897279,864691136905560754,14696.0
203730535,92551323689685361,864691136904488114,92551323689684799,864691136905560754,1084.0
143022008,88321983158732143,864691135567047191,88321983158728416,864691135325263004,2288.0
168107458,89591162838515140,864691136445557123,89591162838513565,864691135368949241,5208.0
145428641,88046418056806078,864691135480892614,87976049312634156,864691135587519868,5048.0
203874571,92410929530270829,864691136927761226,92410929530272053,864691135587519868,12472.0
197239416,92061834253010578,864691136238090767,92061834253010578,864691136238090767,1028.0
143710322,88187361569423002,864691136023889209,88257730313609858,864691135990004992,13500.0
157318961,88888094341876293,864691135646147567,88888094341876293,864691135646147567,2528.0
195144922,91843443890056330,864691135375351369,91843443890048933,864691135476495936,644.0
192794710,92055237317721751,864691135739587697,92055237317685572,864691135476495936,2928.0
153740836,88326312150074585,864691135346685855,88326312150089665,864691135476495936,9016.0
360857213,105563287890128379,864691136137834877,105563287890128379,864691136137834877,532.0
191736609,91915393316231196,864691135476495936,91915393316231196,864691135476495936,536.0
166832684,89876349069812688,864691135476495936,89876349069812688,864691135476495936,1592.0
187755983,91280837534069095,864691134966324767,91280837534072077,864691135476495936,2288.0
188184763,91351206278269457,864691135342585541,91351206278262722,864691135476495936,2480.0
171447034,90156243498876452,864691136904488114,90156243498862208,864691135476495936,9680.0
167183974,89869339548760272,864691135741458324,89869339548764698,864691135476495936,768.0
164025155,89865903440962488,864691135375590217,89865903440962633,864691135476495936,3908.0
185326591,91351550278050278,864691135280682401,91351550278048282,864691134966710559,3868.0
143943160,87828921046997976,864691135739689073,87828921046997942,864691136312150874,10044.0
114690736,85928346546213456,864691135591041291,85928346546213456,864691135591041291,1420.0
119756293,85584610985189399,864691135591041291,85584610985189399,864691135591041291,172.0
102002187,84944833328087510,864691137199828801,84944833328090341,864691135591041291,3028.0
123116912,86210371480178470,864691136101340021,86210371480180434,864691135591041291,4088.0
182767715,91004172853864899,864691135774368763,91004172853859125,864691135360096071,3524.0
141952065,87705294641487724,864691136023889209,87705294641487724,864691136023889209,524.0
175066548,90576875147165276,864691135750958889,90506575122458505,864691136336039091,13648.0
145731962,88042226236063924,864691135375888840,88042226236090456,864691136604001745,2644.0
145204036,88106616251353393,864691136991606421,88106616251355720,864691136604001745,940.0
179295062,90991803616476515,864691134949248508,91062172360668050,864691135839932307,12416.0
132458790,87057269841554503,864691135119709149,87127638585725119,864691135988557315,14016.0
224663465,94031884077960970,864691136905560754,94031884077960970,864691136905560754,392.0
183489419,90862129963828802,864691136905560754,90862129963828802,864691136905560754,1436.0
326806425,102683117315570393,864691136904761266,102683117315567335,864691135857099310,8160.0
146045035,88188255056773847,864691135570791558,88188255056771821,864691135587519868,5816.0
154413020,88888094341878637,864691135646147567,88888094341868036,864691135102151968,5896.0
168743960,89595767245086302,864691135396940021,89595767245087925,864691135954393891,16668.0
176154940,90302272454005498,864691135662059248,90302272453990213,864691135774389755,22748.0
203568957,92551186251034332,864691136905560754,92551186251034332,864691136905560754,188.0
185598346,91355879672577623,864691136905560754,91355879672577623,864691136905560754,888.0
257722050,97121099770742923,864691135468948364,97121099770742923,864691135468948364,520.0
257557202,96909787647765849,864691135468948364,96909787647765849,864691135468948364,572.0
168655491,89592881161020072,864691135686283703,89592812441534229,864691134966710559,10996.0
418450556,110767894765374303,864691135496333968,110767894765367578,864691135463695429,1660.0
189456551,91565954643108127,864691135616048587,91565954643105962,864691134949248508,6204.0
202206049,92474082729481582,864691135816693327,92474082729494586,864691135739587697,1884.0
165870359,90018392295232782,864691135619317391,90018392295234987,864691136238090767,6176.0
171809807,90579555005831728,864691135396940021,90509186261613580,864691135742102635,5972.0
160049954,89031649463104839,864691135582973549,89031649463095592,864691136288644291,3028.0
161328674,89380331350156762,864691135817195343,89380331350145062,864691135384344043,5624.0
161611478,88959768488097776,864691135990004992,88959768488091837,864691135990004992,172.0
185632087,91212943026537260,864691135124603687,91212943026543735,864691135396940021,3904.0
125673089,86428693123474813,864691136381243349,86358324379245254,864691136238090767,28320.0
164211225,89591850033641840,864691135384344043,89591850033612381,864691135384344043,552.0
165397210,90006228478217469,864691135384344043,90006228478217469,864691135384344043,1608.0
258325049,97053410951756288,864691135468948364,97053410951756288,864691135468948364,172.0
188057336,91418551365684542,864691135695146943,91418551365684542,864691135695146943,232.0
249420910,96555401037984269,864691135468948364,96555401037984269,864691135468948364,180.0
257721500,96980568440779704,864691135468948364,96980568440779704,864691135468948364,180.0
193267823,91775686553192988,864691136336107187,91775686553207988,864691136299034139,8848.0
196192088,92056611774078168,864691136336107187,92056611774068835,864691136742244188,7048.0
161966780,88891873913194542,864691136954050527,88891873913186923,864691135689417440,8524.0
203673621,92691785763101597,864691135465955397,92621417018918137,864691135617152361,8300.0
203672776,92551048274751592,864691135465955397,92551048274755804,864691135617152361,2556.0
139254103,87548476526945191,864691135717271834,87548476526950009,864691136604001745,1980.0
139232843,87694231073932168,864691135464795710,87694231073919496,864691135518173395,6140.0
160062553,88954752234479834,864691135431654960,88954752234466064,864691135591041291,6152.0
203228193,92830599441614129,864691135518173395,92830599441614129,864691135518173395,2716.0
119932541,86077399158169399,864691136239902780,86077399158171135,864691136438717086,3424.0
272194755,98036305359296824,864691135582973549,98036305359297703,864691135455701354,22764.0
188451826,91208957296789075,864691135572346349,91208957296793128,864691136742067804,13052.0
154023306,88607650023285347,864691135810492189,88607650023283520,864691136953873631,5936.0
215156332,93533324475361730,864691135478316200,93533324475359636,864691136991390869,7616.0
177591231,90784408168231953,864691135465932357,90784408168233850,864691135325263004,19464.0
251719270,96489155328050310,864691135468948364,96489155328050310,864691135468948364,3408.0
232228319,95565840975440248,864691136953677535,95495403511777510,864691135741090196,4324.0
124863645,86425050789670132,864691136238090767,86425050789670274,864691136125411622,5260.0
189975822,91356979049604238,864691135977654851,91356979049612955,864691135774389755,6448.0
110403279,85152091404174432,864691135210134905,85081722659926096,864691135591041291,23676.0
399911069,108869587269080659,864691135593659947,108869587269086483,864691135387690069,724.0
422290699,110638701813547623,864691137054934902,110638701813547623,864691137054934902,236.0
411227513,109780739079375033,864691135441799752,109780739079370079,864691135885140848,2068.0
141345358,87555142584978799,864691134966324767,87555211371001829,864691136238090767,23244.0
168287747,89666548641701511,864691135695146943,89666548641701511,864691135695146943,212.0
180526839,90574332862258629,864691136453384959,90574332862252082,864691135102151968,3144.0
