pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691134886499066,864691135124603687,1,2084.0
864691134886499066,864691136010639022,1,3028.0
864691134886499066,864691136052738803,1,12872.0
864691134949081852,864691135357351375,1,3464.0
864691134949081852,864691136010639022,1,6376.0
864691134949081852,864691136107283417,1,2072.0
864691134966069023,864691135430486576,1,8744.0
864691134966069023,864691135765013302,1,6728.0
864691134966069023,864691135990004992,1,496.0
864691134966069023,864691136006519498,1,6992.0
864691134966069023,864691136484732972,1,1672.0
864691134966714655,864691135357351375,2,34136.0
864691134966714655,864691135725842603,1,656.0
864691134966714655,864691136239902780,1,260.0
864691134966714655,864691136275894285,3,34844.0
864691135102433056,864691135357351375,2,26344.0
864691135102433056,864691135360809560,1,4532.0
864691135102433056,864691135465343045,1,2832.0
864691135102433056,864691136033332155,1,5148.0
864691135124603687,864691135294520844,1,3060.0
864691135258563503,864691135360809560,2,4432.0
864691135258563503,864691135480916422,1,1016.0
864691135258563503,864691135763795510,1,736.0
864691135258563503,864691135868060950,1,1732.0
864691135258563503,864691135942924148,1,3396.0
864691135271463077,864691135764015926,1,2908.0
864691135276505573,864691135927381774,1,3560.0
864691135280682401,864691135102433056,1,2320.0
864691135280682401,864691135357351375,2,18688.0
864691135280682401,864691135374981320,1,19772.0
864691135280682401,864691135480916422,2,15956.0
864691135280682401,864691136010639022,1,4276.0
864691135280682401,864691136058745048,1,4196.0
864691135280682401,864691136177799686,1,1240.0
864691135294441654,864691135102433056,1,4908.0
864691135294441654,864691135357351375,1,5872.0
864691135294441654,864691135430275120,1,5664.0
864691135294441654,864691135474504498,1,4892.0
864691135294441654,864691135808925981,1,3976.0
864691135294441654,864691136058745048,1,992.0
864691135294441654,864691136725093373,1,33944.0
864691135294441654,864691136913993713,1,2000.0
864691135339729894,864691135646481135,1,3716.0
864691135357351375,864691135280682401,1,4820.0
864691135357351375,864691135751110185,1,4712.0
864691135360809560,864691134949081852,1,3708.0
864691135360809560,864691135375888840,1,4612.0
864691135360809560,864691136010639022,1,2168.0
864691135360809560,864691136091074615,1,13272.0
864691135360809560,864691136524297617,1,16976.0
864691135360809560,864691136975624220,1,5012.0
864691135374981320,864691135357351375,1,4264.0
864691135375590217,864691135280682401,1,1648.0
864691135375590217,864691136905758130,1,4976.0
864691135375590217,864691136953677535,1,1916.0
864691135375888840,864691134966714655,2,5736.0
864691135375888840,864691135124603687,1,3244.0
864691135375888840,864691135430486576,1,4748.0
864691135375888840,864691136085781356,1,2864.0
864691135375888840,864691136125440038,4,36468.0
864691135375888840,864691136239980604,1,7396.0
864691135375888840,864691136905758130,1,1448.0
