matrix_index,nucleus_id,pt_root_id,classification_system,cell_type,layer,brain_area,strategy_axon,strategy_dendrite,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,functional_unit_id,cc_abs,h5_key
0,262198,864691135214931072,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,595.7081749570898,335.79561296155777,759.4000000000001,8.0,5.0,8361,0.906062,8_5
1,262185,864691135134921888,excitatory_neuron,4P,L4,V1,none,none,593.6529684423592,348.27196620206075,755.6000000000001,8.0,5.0,8335,0.892317,8_5
2,396772,864691135860969064,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,895.7132179682765,345.5318245377308,847.6000000000003,8.0,5.0,8306,0.891495,8_5
3,486386,864691135273053713,excitatory_neuron,23P,L2/3,RL,none,none,1067.680894504852,198.10278310215816,655.2400000000001,8.0,5.0,1674,0.857081,8_5
4,556649,864691134918384906,excitatory_neuron,4P,L4,RL,none,none,1189.9004116652611,348.33459329253185,870.9200000000003,8.0,5.0,7510,0.854082,8_5
5,327472,864691136371664520,excitatory_neuron,23P,L2/3,V1,none,none,758.1244921246563,201.34349682453117,663.0000000000001,8.0,5.0,2366,0.843481,8_5
6,194480,864691135778917821,excitatory_neuron,4P,L4,V1,none,none,493.94991585296253,348.22208277793396,762.6400000000001,8.0,5.0,8051,0.843108,8_5
7,294545,864691136390474359,excitatory_neuron,23P,L2/3,V1,axon_fully_extended,dendrite_extended,681.8009857055245,207.96466046008334,844.6400000000002,8.0,5.0,2039,0.839235,8_5
8,257653,864691135742123412,excitatory_neuron,23P,L2/3,V1,none,none,666.4299850708674,196.40500149065983,659.8000000000002,8.0,5.0,2003,0.835074,8_5
9,298938,864691135810492189,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,691.4233563371827,343.97687285083515,851.1200000000002,8.0,5.0,8165,0.834933,8_5
10,191005,864691135864941694,excitatory_neuron,23P,L2/3,V1,none,none,500.5134203387788,187.28571843207004,997.3200000000003,8.0,5.0,5227,0.833433,8_5
11,397252,864691135616668777,excitatory_neuron,4P,L4,V1,none,none,878.728508408067,345.07376651157654,983.4800000000002,8.0,5.0,7798,0.811846,8_5
12,457000,864691135502738613,excitatory_neuron,4P,L4,V1,none,none,1035.106025617016,328.11041449716623,671.0000000000001,8.0,5.0,7591,0.800892,8_5
13,258382,864691135741930603,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_clean,656.6107097945063,197.02354902080174,897.8000000000003,8.0,5.0,5685,0.794313,8_5
14,228202,864691135737932164,excitatory_neuron,4P,L4,V1,none,none,552.8623305394996,340.14189046577263,859.1600000000002,8.0,5.0,8309,0.793811,8_5
15,262974,864691135463809598,excitatory_neuron,4P,L4,V1,none,none,593.4447916920868,333.0278138005448,928.4000000000002,8.0,5.0,8540,0.793524,8_5
16,263202,864691135725501867,excitatory_neuron,4P,L4,V1,none,none,605.1663851856812,331.2265636871714,968.7600000000002,8.0,5.0,8006,0.791138,8_5
17,228441,864691135495511184,excitatory_neuron,4P,L4,V1,none,none,534.7004963635942,337.7177577617071,930.1600000000002,8.0,5.0,8060,0.78812,8_5
18,195293,864691135773262587,excitatory_neuron,4P,L4,V1,none,none,512.8151808047224,325.7166590249828,959.4000000000002,8.0,5.0,8343,0.787794,8_5
19,364666,864691135685251511,excitatory_neuron,4P,L4,V1,none,none,820.0397036455474,323.4283327310568,647.9600000000002,8.0,5.0,7777,0.787132,8_5
20,586466,864691135386087509,excitatory_neuron,4P,L4,RL,none,none,1300.5671188515912,343.49742547085157,1046.3600000000004,8.0,5.0,8150,0.786864,8_5
21,258259,864691136145520692,excitatory_neuron,23P,L2/3,V1,none,none,604.1194030698891,208.81349449744303,871.0400000000003,8.0,5.0,5021,0.786806,8_5
22,369360,864691135655152834,excitatory_neuron,5P-ET,L5,V1,none,none,833.6348878915937,458.8244542313275,699.3600000000001,8.0,5.0,10147,0.785939,8_5
23,490421,864691135498273555,excitatory_neuron,4P,L4,RL,none,none,1103.936673975376,331.4982926779484,693.6800000000002,8.0,5.0,7529,0.785018,8_5
24,396510,864691137054703222,excitatory_neuron,4P,L4,V1,none,none,903.8254617130364,349.00406609407577,755.1600000000001,8.0,5.0,7715,0.785013,8_5
25,190779,864691135277506533,excitatory_neuron,23P,L2/3,V1,none,none,533.9266033695507,191.6223714908404,888.1600000000002,8.0,5.0,2408,0.784476,8_5
26,227531,864691135013727126,excitatory_neuron,4P,L4,V1,none,none,563.0026712932791,329.97900655434125,695.5600000000002,8.0,5.0,7994,0.782834,8_5
27,397436,864691135361024071,excitatory_neuron,4P,L4,V1,none,none,886.7570248179118,344.3627923511087,1032.4400000000003,8.0,5.0,8219,0.780297,8_5
28,333865,864691136619435661,excitatory_neuron,4P,L4,V1,none,none,785.9094772641886,338.3022873886858,1008.5200000000002,8.0,5.0,8376,0.77915,8_5
29,267560,864691136927578954,excitatory_neuron,5P-IT,L5,V1,none,none,608.4953342424066,478.9588667294571,983.2400000000002,8.0,5.0,10369,0.777276,8_5
30,258489,864691136373008520,excitatory_neuron,23P,L2/3,V1,axon_partially_extended,dendrite_extended,663.1217877470914,193.09608165679225,914.4800000000002,8.0,5.0,2446,0.77267,8_5
31,263149,864691135869369878,excitatory_neuron,4P,L4,V1,none,none,642.7133047355346,329.4361803994843,940.5600000000003,8.0,5.0,7983,0.768947,8_5
32,159450,864691135295295500,excitatory_neuron,4P,L4,V1,none,none,427.52282245809363,339.39097508357486,829.2000000000003,8.0,5.0,8497,0.765276,8_5
33,337019,864691135492083295,excitatory_neuron,5P-NP,L5,V1,none,none,737.8145632821654,455.51657519124757,695.5200000000001,8.0,5.0,9952,0.762925,8_5
34,582444,864691135455123562,excitatory_neuron,23P,L2/3,RL,axon_interareal,dendrite_clean,1300.4093745699058,206.5144154413534,869.8800000000002,8.0,5.0,1551,0.761224,8_5
35,557030,864691135700409211,excitatory_neuron,4P,L4,RL,axon_interareal,dendrite_extended,1208.5354771059908,336.5378561156796,983.2000000000003,8.0,5.0,8232,0.760413,8_5
