pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691134884807418,864691134964790303,1,4868.0
864691134884807418,864691135182508802,1,9172.0
864691134884807418,864691135408560329,1,3896.0
864691134884807418,864691135578103301,1,2600.0
864691134884807418,864691135777517245,1,6056.0
864691134884807418,864691135940945153,2,45364.0
864691134884807418,864691135969919589,1,5344.0
864691134884807418,864691136041512790,1,3292.0
864691134884807418,864691136287519939,1,2744.0
864691134884807418,864691136444381059,1,1652.0
864691134884807418,864691136904761266,1,1236.0
864691134887418874,864691135083949303,1,920.0
864691134887418874,864691136373008520,1,21480.0
864691134887526650,864691135429400880,1,2344.0
864691134887526650,864691135447404372,1,3168.0
864691134887526650,864691135725191083,1,184.0
864691134887526650,864691135738287985,1,3540.0
864691134887526650,864691135741466516,1,4588.0
864691134917977610,864691136912125681,1,1240.0
864691134917980426,864691135509698057,1,1536.0
864691134917980426,864691135701207163,1,13052.0
864691134918384906,864691135162908461,1,2124.0
864691134918384906,864691135492201823,2,34524.0
864691134918384906,864691135684334578,2,3040.0
864691134918409738,864691135156270948,1,3636.0
864691134918409738,864691135591211019,1,2544.0
864691134918409738,864691135762624310,1,14244.0
864691134918478602,864691135464252741,1,3208.0
864691134918533130,864691135374121545,1,2108.0
864691134918533130,864691135742895467,1,19872.0
864691134918533130,864691135884841328,1,2920.0
864691134918533130,864691135940269313,1,892.0
864691134918533130,864691135953985800,1,1708.0
864691134918533130,864691136194348264,1,5192.0
864691134918533130,864691136903658162,1,29412.0
864691134919213834,864691135278726305,1,8212.0
864691134919213834,864691135808286237,1,25804.0
864691134919213834,864691135809355293,1,5516.0
864691134919213834,864691135866905110,1,1116.0
864691134940636259,864691135346115999,1,3524.0
864691134940636259,864691135689457632,1,4392.0
864691134941228131,864691136011969187,1,5480.0
864691134941228131,864691136106440409,1,1004.0
864691134941328739,864691135182658818,1,2856.0
864691134941328739,864691135233964121,1,16260.0
864691134941328739,864691135338802150,1,4384.0
864691134941328739,864691135341401285,1,1796.0
864691134941328739,864691135395510005,1,9276.0
864691134941328739,864691135492129887,1,3292.0
864691134941328739,864691135526929243,1,408.0
864691134941328739,864691135754741453,1,2524.0
864691134941328739,864691135865559004,1,784.0
864691134941328739,864691135919409328,3,7436.0
864691134941328739,864691135942158452,2,19088.0
864691134941328739,864691135946646113,1,4488.0
864691134941328739,864691136021364728,1,844.0
864691134941328739,864691136085059180,2,5172.0
864691134941328739,864691136109661368,1,352.0
864691134941481315,864691135546276904,1,8532.0
864691134948665340,864691135119053789,1,5264.0
864691134948665340,864691135383766763,1,5004.0
864691134948665340,864691136020242680,1,3284.0
864691134948843772,864691135397781537,1,23296.0
864691134948843772,864691135579303685,1,29436.0
864691134948843772,864691135817552463,1,18456.0
864691134948870652,864691134887418874,1,11596.0
864691134948870652,864691135429400880,1,1980.0
864691134949221372,864691134948665340,1,3264.0
864691134949221372,864691135015004662,1,8912.0
864691134949221372,864691135429266224,2,41928.0
864691134949221372,864691135463505821,1,3496.0
864691134949221372,864691135520041610,1,10468.0
864691134949221372,864691135540508018,1,10604.0
864691134949221372,864691135579303685,1,1856.0
864691134949221372,864691135658414210,1,2256.0
864691134949221372,864691135741466516,1,380.0
864691134949221372,864691135778917821,1,3792.0
864691134949221372,864691135868916246,1,512.0
864691134949221372,864691136008452268,1,9920.0
864691134949221372,864691136143876404,1,1576.0
864691134949221372,864691136274035469,1,7796.0
864691134949221372,864691136287554499,1,13392.0
864691134949221372,864691136578499604,1,2540.0
864691134949221372,864691136991202453,1,1872.0
864691134964790303,864691135182508802,1,13340.0
864691134964790303,864691135397374753,1,10412.0
864691134964790303,864691136084973676,1,4556.0
864691134964790303,864691136419226519,1,2324.0
864691134965345055,864691136228367697,1,15272.0
864691134965345055,864691136812736371,1,2456.0
864691134989053818,864691135926721806,1,412.0
864691134989290874,864691136487546642,1,6916.0
864691134989835898,864691135013599382,1,2112.0
864691134989835898,864691135395510005,1,308.0
864691134989865338,864691135215236920,1,168.0
864691134989865338,864691135257507247,1,956.0
864691134989865338,864691135469024338,1,7660.0
864691134989865338,864691135545440808,2,5820.0
864691134989865338,864691135565518167,1,9268.0
864691134989865338,864691135618911887,1,6956.0
864691134989865338,864691135654043586,1,9120.0
864691134989865338,864691135716302618,1,13300.0
864691134989865338,864691135947597409,2,12780.0
864691134989865338,864691136040153854,3,64908.0
864691134989865338,864691136297696283,1,3568.0
864691135012878230,864691135065276996,1,1880.0
864691135012878230,864691135861069928,1,1688.0
864691135012878230,864691136175540742,1,6928.0
864691135012878230,864691136913075953,1,3452.0
864691135013326230,864691134941481315,1,18752.0
864691135013326230,864691135503836253,1,7532.0
864691135013326230,864691135570156934,1,1728.0
864691135013326230,864691135582108269,1,9136.0
864691135013326230,864691135585875836,1,3700.0
864691135013326230,864691135778624685,1,6656.0
864691135013326230,864691135816693327,1,7240.0
864691135013326230,864691135995716010,1,5084.0
864691135013326230,864691136287554499,1,7624.0
864691135013387766,864691135463371421,1,26432.0
864691135013387766,864691135842884579,1,220.0
864691135013387766,864691136238595900,1,21428.0
864691135013387766,864691136239108156,1,2016.0
864691135013421302,864691135546276904,2,78520.0
864691135013421302,864691135693630143,1,6320.0
864691135013421302,864691136237481999,1,4376.0
864691135013421302,864691136419952535,1,336.0
864691135013421302,864691136420195223,1,22756.0
864691135013506294,864691135100918816,1,5512.0
864691135013506294,864691135273258257,1,216.0
864691135013506294,864691135565518167,2,61244.0
864691135013506294,864691135992010945,1,1060.0
864691135013532918,864691135546254632,1,8016.0
864691135013599382,864691135848829790,1,35612.0
864691135013711766,864691135213462656,1,1988.0
864691135013711766,864691135889041801,1,6100.0
864691135013711766,864691136136383883,1,660.0
864691135013727126,864691134918409738,1,9216.0
864691135013727126,864691135464476741,3,46580.0
864691135013727126,864691135809355293,1,1400.0
864691135013727126,864691136274522893,1,8044.0
864691135013932438,864691135133383840,1,7336.0
864691135013932438,864691135582505325,1,6456.0
864691135013932438,864691135838036627,1,3624.0
864691135013932438,864691135867616534,1,15744.0
864691135013932438,864691135940945153,1,3256.0
864691135013932438,864691136194957032,1,56076.0
864691135013932438,864691136267400948,1,11572.0
864691135013932438,864691136423247407,1,2520.0
864691135013932438,864691136663396574,1,24152.0
864691135013932438,864691137054807414,1,12692.0
864691135014728182,864691135917432166,1,4872.0
864691135014728182,864691135940146598,1,5156.0
864691135014728182,864691135954520611,1,1252.0
864691135014728182,864691135995716010,2,7760.0
864691135015224566,864691134940504419,1,3404.0
864691135015224566,864691135397188641,1,3944.0
864691135015224566,864691135570156934,1,2084.0
864691135015224566,864691135590799371,2,7864.0
864691135015224566,864691135741466516,1,3312.0
864691135015224566,864691135778046909,9,30192.0
864691135015224566,864691135869526550,1,1116.0
864691135015224566,864691135954929416,1,5368.0
864691135015224566,864691136031893691,1,21536.0
864691135015224566,864691136116854948,1,7484.0
864691135015224566,864691136905203378,1,3220.0
864691135059450779,864691135082723063,1,21156.0
864691135059450779,864691135469679442,1,14096.0
864691135059450779,864691135489161786,1,9264.0
864691135059450779,864691135969919589,1,1068.0
864691135065276996,864691135182508802,1,3288.0
864691135065276996,864691135455053162,1,4244.0
864691135065276996,864691135688235744,1,6272.0
864691135065276996,864691135874519694,1,14940.0
864691135065276996,864691135942158452,1,3040.0
864691135065276996,864691135952487459,1,696.0
864691135065276996,864691136065296792,1,17576.0
864691135065851972,864691135209039737,1,3388.0
864691135065851972,864691135584663928,2,4756.0
864691135065851972,864691135616363211,1,19080.0
864691135065851972,864691135841778403,1,6904.0
864691135065851972,864691135941699700,1,3000.0
864691135065851972,864691136724602621,1,3932.0
864691135066003268,864691135464143934,1,26488.0
864691135066003268,864691135837969811,1,3756.0
864691135066003268,864691136176339718,1,1324.0
864691135066003268,864691136620029581,1,5288.0
864691135066025540,864691135810492189,1,11220.0
864691135066232644,864691135591211019,1,5268.0
864691135066232644,864691135778931296,1,404.0
864691135066232644,864691135808286237,1,42924.0
864691135066232644,864691136926428234,1,2004.0
864691135066282564,864691136287404483,1,9304.0
864691135066507076,864691135100918816,1,20096.0
864691135066507076,864691135367723513,1,5220.0
864691135066507076,864691135477298240,2,2184.0
864691135066507076,864691135658414210,1,4092.0
864691135066507076,864691135684334578,1,5236.0
864691135066507076,864691135777319341,1,372.0
864691135066507076,864691135777451360,2,9076.0
864691135066507076,864691135915709030,3,10148.0
864691135066507076,864691136195114828,1,2216.0
864691135066507076,864691136297315099,1,2692.0
864691135066507076,864691137197537601,1,3908.0
864691135081649143,864691135517475539,1,1184.0
864691135081649143,864691136991307157,1,14004.0
864691135082286839,864691135304040359,1,4400.0
864691135082286839,864691135374121545,1,1476.0
864691135082286839,864691136437135006,1,19696.0
864691135082286839,864691136975076636,1,18684.0
864691135082303223,864691135118759901,1,2112.0
864691135082303223,864691135889041801,1,2976.0
864691135082303223,864691136008919214,1,10192.0
864691135082303223,864691136090113591,1,6208.0
864691135082526199,864691135183367170,1,4476.0
864691135082526199,864691135213413248,1,10140.0
864691135082526199,864691135305618599,1,31436.0
864691135082526199,864691135455701354,2,4308.0
864691135082526199,864691135569140716,1,14760.0
864691135082526199,864691135841757923,1,11496.0
864691135082526199,864691135989148163,1,5088.0
864691135082526199,864691136522623377,1,764.0
864691135082583287,864691135349291991,1,180.0
864691135082714871,864691135082526199,1,1856.0
864691135082714871,864691135123043111,1,7328.0
864691135082714871,864691135123341607,2,3624.0
864691135082714871,864691135616717673,2,4996.0
864691135082714871,864691135645470959,1,3820.0
864691135082714871,864691135718955569,1,18064.0
864691135082714871,864691136085059180,1,2372.0
864691135082714871,864691136487546642,1,9636.0
864691135082714871,864691136673511303,1,436.0
864691135082723063,864691135293586956,1,4804.0
864691135082723063,864691135546276904,1,7696.0
864691135082723063,864691135889041801,3,24844.0
864691135082723063,864691135919409328,1,1892.0
864691135082723063,864691136117423524,1,3412.0
864691135082723063,864691136238377788,2,5404.0
864691135082723063,864691136990302357,1,412.0
864691135082811639,864691135518370186,2,26720.0
864691135083949303,864691135123043111,1,16536.0
864691135083949303,864691135409737161,1,11504.0
864691135083969527,864691135215236920,1,4796.0
864691135083969527,864691135469089362,1,160.0
864691135083969527,864691135540508018,1,4152.0
864691135101595680,864691134887418874,1,9932.0
864691135101595680,864691135066232644,1,22820.0
864691135101595680,864691135195558698,1,29552.0
864691135101595680,864691135280864417,1,15784.0
864691135101595680,864691135343882673,1,19040.0
864691135101595680,864691135349291991,1,2144.0
864691135101595680,864691135395987701,1,15284.0
864691135101595680,864691135430204720,1,756.0
864691135101595680,864691135470787666,1,7328.0
864691135101595680,864691135472952114,1,1728.0
864691135101595680,864691135502982581,2,4424.0
864691135101595680,864691135511220745,1,4928.0
864691135101595680,864691135615588811,1,3640.0
864691135101595680,864691135618595471,1,4300.0
864691135101595680,864691135655168706,1,724.0
864691135101595680,864691135698142618,1,18608.0
864691135101595680,864691135700682107,1,4944.0
864691135101595680,864691135741421931,1,4992.0
864691135101595680,864691135760233038,1,2156.0
864691135101595680,864691135778467517,1,5952.0
864691135101595680,864691135843077603,1,5284.0
864691135101595680,864691136009254318,1,6132.0
864691135101595680,864691136101499765,1,7068.0
864691135101595680,864691136135667595,1,19800.0
864691135101595680,864691136238679567,1,3860.0
864691135101595680,864691136362342626,1,7712.0
864691135101595680,864691136390474359,1,2028.0
864691135101595680,864691136673938055,1,12612.0
864691135101595680,864691136903658162,1,980.0
864691135101595680,864691136991202453,1,8092.0
864691135104516941,864691135783848499,1,10816.0
864691135104627789,864691136487546642,1,4088.0
864691135105524557,864691135113733529,1,2520.0
864691135105524557,864691135546276904,1,43336.0
864691135105524557,864691135618724239,1,9940.0
864691135105524557,864691135786211268,1,6124.0
864691135105524557,864691136008919214,1,3796.0
864691135105524557,864691136117423524,1,1236.0
864691135105524557,864691136136383883,1,10292.0
864691135105524557,864691136812192115,1,5140.0
864691135105524813,864691135280864417,1,5404.0
864691135105524813,864691135397781537,1,1112.0
864691135105524813,864691135429097264,1,9188.0
864691135105524813,864691135538399602,2,22756.0
864691135105524813,864691135688186080,1,3452.0
864691135105524813,864691135757083346,1,9820.0
864691135105524813,864691135774389755,1,2548.0
864691135105524813,864691135861059176,2,31208.0
864691135105524813,864691135868916246,1,1612.0
864691135105524813,864691135997042858,3,8860.0
864691135113471897,864691135065851972,1,4636.0
864691135113715353,864691136904069042,1,1704.0
864691135113733529,864691135012499702,1,828.0
864691135113733529,864691135059450779,1,2540.0
864691135113733529,864691135066282564,1,11524.0
864691135113733529,864691135359923032,1,2200.0
864691135113733529,864691135502188469,1,4124.0
864691135113733529,864691135655141058,2,3656.0
864691135113733529,864691135988025347,1,7556.0
864691135113733529,864691135988475651,1,1428.0
864691135113733529,864691136024395321,1,2532.0
864691135113733529,864691136422858543,1,4856.0
864691135113733529,864691136444566915,1,3904.0
864691135114035865,864691136118618136,1,1432.0
864691135114035865,864691136370815368,1,452.0
864691135118351837,864691136210453436,1,19808.0
864691135118351837,864691136419477399,1,4536.0
864691135118502877,864691136362342626,1,376.0
864691135118527709,864691135490213946,1,1100.0
864691135118527709,864691135526556763,1,2888.0
864691135118527709,864691135698285077,1,268.0
864691135118527709,864691135987843843,1,2748.0
