id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id,id,created,valid,target_id,classification_system,cell_type
399356,2020-09-28 22:41:12.527331+00:00,True,221.04868,229872,186368,23181,,,,,,,96351648124987952,864691136137334155,1,2024-02-01 19:24:57.054004+00:00,True,399356,nonneuron,OPC
70708,2020-09-28 22:40:46.662047+00:00,True,177.97841,96368,159600,18950,,,,,,,78052200688939393,864691136043452246,2,2024-02-01 19:24:57.054558+00:00,True,70708,nonneuron,OPC
565608,2020-09-28 22:42:46.597055+00:00,True,67.90169,311552,238112,18365,,,,,,,107617587189819663,864691135717889684,3,2024-02-01 19:24:57.055086+00:00,True,565608,nonneuron,microglia
302387,2020-09-28 22:42:58.818118+00:00,True,80.29962,181808,194880,17267,,,,,,,89808522342513116,864691135526444123,4,2024-02-01 19:24:57.055641+00:00,True,302387,nonneuron,microglia
135499,2020-09-28 22:40:58.686762+00:00,True,106.97491,114352,266016,15532,,,,,,,80529399916752128,864691135699652642,5,2024-02-01 19:24:57.056163+00:00,True,135499,nonneuron,oligo
400936,2020-09-28 22:40:58.768120+00:00,True,57.231606,243840,202464,19467,,,,,,,98324171515262305,864691135509036041,6,2024-02-01 19:24:57.056694+00:00,True,400936,nonneuron,pericyte
393905,2020-09-28 22:43:00.374356+00:00,True,81.36327,235920,146816,16642,,,,,,,97190780783092437,864691135396363553,7,2024-02-01 19:24:57.057195+00:00,True,393905,nonneuron,oligo
223057,2020-09-28 22:42:41.066621+00:00,True,62.75547,154864,113616,23897,,,,,,,86068053376667977,864691135463484229,8,2024-02-01 19:24:57.057718+00:00,True,223057,nonneuron,pericyte
528300,2020-09-28 22:42:50.612835+00:00,True,71.7688,296032,199344,15147,,,,,,,105501301781369632,864691136150449124,9,2024-02-01 19:24:57.058355+00:00,True,528300,nonneuron,pericyte
622270,2020-09-28 22:42:27.843520+00:00,True,50.917706,349264,215984,24616,,,,,,,112821920193385700,864691136928623071,10,2024-02-01 19:24:57.058879+00:00,True,622270,nonneuron,pericyte
228638,2020-09-28 22:42:39.127205+00:00,True,60.885567,159776,168464,23768,,,,,,,86708725058136534,864691135445570450,11,2024-02-01 19:24:57.059390+00:00,True,228638,nonneuron,pericyte
187683,2020-09-28 22:41:16.884296+00:00,True,48.623943,137232,109264,24384,,,,,,,83604597641691021,864691135753752781,12,2024-02-01 19:24:57.059901+00:00,True,187683,nonneuron,pericyte
344262,2020-09-28 22:41:14.181005+00:00,True,56.50678,206688,257952,22469,,,,,,,93194675229794951,864691136117330312,13,2024-02-01 19:24:57.060423+00:00,True,344262,nonneuron,pericyte
323683,2020-09-28 22:41:38.223155+00:00,True,81.66769,203584,104304,15620,,,,,,,92751846049079075,864691135696256410,14,2024-02-01 19:24:57.060925+00:00,True,323683,nonneuron,pericyte
204295,2020-09-28 22:42:15.314962+00:00,True,43.10188,142224,247312,15976,,,,,,,84326769548762589,864691135423542053,15,2024-02-01 19:24:57.061457+00:00,True,204295,nonneuron,oligo
656634,2020-09-28 22:42:45.367652+00:00,True,67.469315,369280,148096,18787,,,,,,,115557160720905353,864691135012854678,16,2024-02-01 19:24:57.061967+00:00,True,656634,nonneuron,microglia
533454,2020-09-28 22:42:39.274300+00:00,True,61.228153,308672,218448,26497,,,,,,,107192764458339326,864691136483195180,17,2024-02-01 19:24:57.062480+00:00,True,533454,nonneuron,microglia
174015,2020-09-28 22:41:55.915453+00:00,True,70.026855,127056,273424,17772,,,,,,,82289580862447531,864691136423033391,18,2024-02-01 19:24:57.062970+00:00,True,174015,nonneuron,oligo
331307,2020-09-28 22:42:47.441123+00:00,True,69.39492,198720,145072,26965,,,,,,,92123957666706180,864691135779796669,19,2024-02-01 19:24:57.063481+00:00,True,331307,nonneuron,microglia
727016,2020-09-28 22:42:46.783262+00:00,True,68.20315,378848,254416,23952,,,,,,,116838092438412489,864691135203742080,20,2024-02-01 19:24:57.063985+00:00,True,727016,nonneuron,microglia
530498,2020-09-28 22:42:07.803726+00:00,True,147.11899,297088,204592,18635,,,,,,,105642795653657441,864691135771605243,21,2024-02-01 19:24:57.064497+00:00,True,530498,nonneuron,OPC
306086,2020-09-28 22:40:42.400612+00:00,True,114.90132,195968,235472,16139,,,,,,,91713907139588434,864691135939154436,22,2024-02-01 19:24:57.065001+00:00,True,306086,nonneuron,oligo
84524,2020-09-28 22:42:48.700141+00:00,True,69.90807,91664,233552,19680,,,,,,,77358408919171057,864691135841079267,23,2024-02-01 19:24:57.065503+00:00,True,84524,nonneuron,oligo
136027,2020-09-28 22:41:40.777316+00:00,True,85.79252,113008,266048,18474,,,,,,,80318294086717226,864691135937520900,24,2024-02-01 19:24:57.066009+00:00,True,136027,nonneuron,oligo
298968,2020-09-28 22:43:37.350241+00:00,True,129.06349,193936,169024,21311,,,,,,,91423499302074882,864691135442754376,25,2024-02-01 19:24:57.066605+00:00,True,298968,nonneuron,oligo
536604,2020-09-28 22:44:38.332273+00:00,True,269.4991,304000,249664,22813,,,,,,,106563637178868702,864691135065008964,26,2024-02-01 19:24:57.067076+00:00,True,536604,nonneuron,OPC
174898,2020-09-28 22:42:43.134282+00:00,True,64.991234,121184,260640,22162,,,,,,,81443438549222768,864691135014833046,27,2024-02-01 19:24:57.067561+00:00,True,174898,nonneuron,oligo
312190,2020-09-28 22:43:14.071965+00:00,True,94.571724,180448,260096,26580,,,,,,,89606144691559987,864691135577262366,28,2024-02-01 19:24:57.068030+00:00,True,312190,nonneuron,oligo
123287,2020-09-28 22:43:06.172831+00:00,True,87.38325,106656,200992,17547,,,,,,,79465141648966491,864691134947847676,29,2024-02-01 19:24:57.068532+00:00,True,123287,nonneuron,oligo
129036,2020-09-28 22:43:51.391315+00:00,True,165.82164,104064,234736,15877,,,,,,,79117833212029031,864691135213063224,30,2024-02-01 19:24:57.069011+00:00,True,129036,nonneuron,OPC
155961,2020-09-28 22:41:34.503020+00:00,True,145.6359,120448,135056,27196,,,,,,,81356234204235767,864691136033812923,31,2024-02-01 19:24:57.069503+00:00,True,155961,nonneuron,microglia
703882,2020-09-28 22:43:46.919521+00:00,True,153.4935,387216,160224,26729,,,,,,,118021717108116629,864691135807244061,32,2024-02-01 19:24:57.069982+00:00,True,703882,nonneuron,oligo
336676,2020-09-28 22:41:39.008167+00:00,True,94.65217,197328,207664,16186,,,,,,,91921302520486927,864691135926299348,33,2024-02-01 19:24:57.070464+00:00,True,336676,nonneuron,oligo
584744,2020-09-28 22:41:06.496652+00:00,True,194.87294,336608,158112,15266,,,,,,,111054935013414810,864691135873641614,34,2024-02-01 19:24:57.070941+00:00,True,584744,nonneuron,OPC
345383,2020-09-28 22:41:59.709159+00:00,True,71.17652,201440,263712,17140,,,,,,,92491743030913448,864691135994535338,35,2024-02-01 19:24:57.071432+00:00,True,345383,nonneuron,oligo
450130,2020-09-28 22:43:31.378597+00:00,True,117.82226,265232,89184,18851,,,,,,,101194034168990631,864691135884262256,36,2024-02-01 19:24:57.071930+00:00,True,450130,nonneuron,microglia
722444,2020-09-28 22:41:46.146184+00:00,True,188.53134,388496,229648,25583,,,,,,,118171800244396198,864691135468690258,37,2024-02-01 19:24:57.072448+00:00,True,722444,nonneuron,oligo
551600,2020-09-28 22:42:38.779814+00:00,True,60.198093,317584,98912,17537,,,,,,,108443320354780057,864691136535481250,38,2024-02-01 19:24:57.072945+00:00,True,551600,nonneuron,pericyte
763244,2020-09-28 22:43:10.630148+00:00,True,91.25495,395088,217152,22302,,,,,,,119084875528825895,864691135926082574,39,2024-02-01 19:24:57.073443+00:00,True,763244,nonneuron,oligo
204576,2020-09-28 22:43:12.336785+00:00,True,92.915955,137504,256384,17407,,,,,,,83694687936427389,864691136125905702,40,2024-02-01 19:24:57.073933+00:00,True,204576,nonneuron,oligo
361517,2020-09-28 22:41:10.503486+00:00,True,269.3464,221840,141536,22002,,,,,,,95290138166904884,864691135867631638,41,2024-02-01 19:24:57.074448+00:00,True,361517,excitatory_neuron,4P
221307,2020-09-28 22:45:22.922463+00:00,True,404.35794,152816,104896,23709,,,,,,,85785410168660732,864691136107054297,42,2024-02-01 19:24:57.075045+00:00,True,221307,inhibitory_neuron,NGC
226043,2020-09-28 22:44:57.181447+00:00,True,299.69974,149040,147360,20446,,,,,,,85298532206585934,864691136175058182,43,2024-02-01 19:24:57.075542+00:00,True,226043,excitatory_neuron,4P
327523,2020-09-28 22:43:10.553765+00:00,True,268.62305,209824,142704,16499,,,,,,,93601425074075462,864691135658872706,44,2024-02-01 19:24:57.076024+00:00,True,327523,excitatory_neuron,4P
388878,2020-09-28 22:43:12.904668+00:00,True,299.85162,241920,107744,15621,,,,,,,98029982898773978,864691135751675528,45,2024-02-01 19:24:57.076521+00:00,True,388878,excitatory_neuron,4P
228976,2020-09-28 22:42:05.838583+00:00,True,294.53992,147984,160096,27187,,,,,,,85089144899998142,864691135800572258,46,2024-02-01 19:24:57.076994+00:00,True,228976,excitatory_neuron,4P
460522,2020-09-28 22:44:23.321501+00:00,True,247.73198,272896,171456,26111,,,,,,,102260630107037777,864691135975450691,47,2024-02-01 19:24:57.077482+00:00,True,460522,excitatory_neuron,5P-NP
262852,2020-09-28 22:43:56.428906+00:00,True,186.80217,165584,163584,22205,,,,,,,87552531311609518,864691135739695473,48,2024-02-01 19:24:57.077965+00:00,True,262852,inhibitory_neuron,BPC
523073,2020-09-28 22:43:35.746118+00:00,True,261.15408,310112,152352,27263,,,,,,,107395006012261370,864691135564721751,49,2024-02-01 19:24:57.078488+00:00,True,523073,excitatory_neuron,5P-IT
493669,2020-09-28 22:44:28.899345+00:00,True,255.93512,287872,162624,23771,,,,,,,104370523932508946,864691135355670991,50,2024-02-01 19:24:57.078975+00:00,True,493669,excitatory_neuron,5P-IT
395726,2020-09-28 22:41:40.314104+00:00,True,265.63986,243888,161280,15348,,,,,,,98318604634205343,864691136009459118,51,2024-02-01 19:24:57.079457+00:00,True,395726,excitatory_neuron,5P-IT
230954,2020-09-28 22:44:59.354643+00:00,True,304.80368,154752,177392,25055,,,,,,,86076643445586310,864691135417567674,52,2024-02-01 19:24:57.079933+00:00,True,230954,excitatory_neuron,5P-IT
525647,2020-09-28 22:43:47.323782+00:00,True,348.36267,310208,161600,25204,,,,,,,107396242694395168,864691135698238741,53,2024-02-01 19:24:57.080429+00:00,True,525647,excitatory_neuron,5P-IT
522609,2020-09-28 22:44:49.600196+00:00,True,286.79456,306272,157168,23396,,,,,,,106903042741686583,864691135118472413,54,2024-02-01 19:24:57.080928+00:00,True,522609,excitatory_neuron,5P-IT
330086,2020-09-28 22:41:40.486738+00:00,True,200.48068,205952,143984,19368,,,,,,,93108981639686411,864691135339729126,55,2024-02-01 19:24:57.081430+00:00,True,330086,excitatory_neuron,23P
559122,2020-09-28 22:45:11.537011+00:00,True,334.443,313872,164304,23864,,,,,,,107889167299924345,864691135920475056,56,2024-02-01 19:24:57.081923+00:00,True,559122,excitatory_neuron,5P-IT
462778,2020-09-28 22:45:21.062641+00:00,True,384.1019,270224,183568,26617,,,,,,,101910435720685371,864691136483725868,57,2024-02-01 19:24:57.082411+00:00,True,462778,excitatory_neuron,5P-IT
167483,2020-09-28 22:44:53.934675+00:00,True,295.19528,125008,214800,23698,,,,,,,82000272670545296,864691135970707301,58,2024-02-01 19:24:57.082914+00:00,True,167483,excitatory_neuron,6P-IT
616634,2020-09-28 22:44:50.105641+00:00,True,288.5763,347904,173696,23923,,,,,,,112605110110475966,864691135763127350,59,2024-02-01 19:24:57.083524+00:00,True,616634,inhibitory_neuron,MC
615507,2020-09-28 22:41:10.471867+00:00,True,258.19135,354256,176352,15257,,,,,,,113449946216605887,864691135387774337,60,2024-02-01 19:24:57.083999+00:00,True,615507,excitatory_neuron,5P-NP
589372,2020-09-28 22:45:19.612882+00:00,True,375.5095,330144,183632,24696,,,,,,,110143578587710590,864691136423686191,61,2024-02-01 19:24:57.084485+00:00,True,589372,excitatory_neuron,5P-ET
334247,2020-09-28 22:45:09.233628+00:00,True,325.84418,205056,181104,15166,,,,,,,92973260136177470,864691135696931738,62,2024-02-01 19:24:57.084960+00:00,True,334247,inhibitory_neuron,MC
587357,2020-09-28 22:45:13.193547+00:00,True,339.54184,339520,169936,18897,,,,,,,111478728496341654,864691135955817480,63,2024-02-01 19:24:57.085444+00:00,True,587357,excitatory_neuron,5P-ET
268295,2020-09-28 22:45:19.367537+00:00,True,371.6183,172784,210272,15877,,,,,,,88543946396949085,864691135917390950,64,2024-02-01 19:24:57.085925+00:00,True,268295,inhibitory_neuron,MC
527187,2020-09-28 22:41:36.884461+00:00,True,309.69907,309280,187888,20446,,,,,,,107259009228640833,864691135014165494,65,2024-02-01 19:24:57.086417+00:00,True,527187,excitatory_neuron,6P-IT
590200,2020-09-28 22:44:55.352981+00:00,True,296.80994,337328,195296,16879,,,,,,,111130320480829182,864691135946463780,66,2024-02-01 19:24:57.086895+00:00,True,590200,excitatory_neuron,6P-IT
302447,2020-09-28 22:44:42.476703+00:00,True,276.32385,190864,205568,17234,,,,,,,91006234102508123,864691136372610184,67,2024-02-01 19:24:57.087387+00:00,True,302447,excitatory_neuron,6P-IT
496859,2020-09-28 22:44:34.752978+00:00,True,264.7828,290160,199648,19961,,,,,,,104656946174942201,864691135759748174,68,2024-02-01 19:24:57.087876+00:00,True,496859,excitatory_neuron,6P-IT
496346,2020-09-28 22:44:20.984393+00:00,True,243.53227,278480,203664,16756,,,,,,,103039014411943231,864691135976330307,69,2024-02-01 19:24:57.088360+00:00,True,496346,excitatory_neuron,6P-CT
338960,2020-09-28 22:44:19.094140+00:00,True,240.36688,201392,211552,15748,,,,,,,92484733443217533,864691136144659764,70,2024-02-01 19:24:57.088843+00:00,True,338960,excitatory_neuron,6P-IT
264263,2020-09-28 22:41:38.640165+00:00,True,241.70775,174560,179056,18591,,,,,,,88750861077160892,864691136267588340,71,2024-02-01 19:24:57.089342+00:00,True,264263,excitatory_neuron,4P
668133,2020-09-28 22:42:07.249663+00:00,True,240.58397,363440,192768,19480,,,,,,,114718783238629323,864691135065011780,72,2024-02-01 19:24:57.089825+00:00,True,668133,excitatory_neuron,5P-ET
496163,2020-09-28 22:43:18.052368+00:00,True,276.34598,290272,203408,15616,,,,,,,104657426674196242,864691135724218539,73,2024-02-01 19:24:57.090313+00:00,True,496163,excitatory_neuron,6P-IT
400733,2020-09-28 22:42:03.596889+00:00,True,241.83325,237136,196976,18607,,,,,,,97408621792708139,864691137197169473,74,2024-02-01 19:24:57.090801+00:00,True,400733,inhibitory_neuron,MC
398278,2020-09-28 22:44:15.260718+00:00,True,233.50395,237408,181648,17325,,,,,,,97406560007405838,864691135848557918,75,2024-02-01 19:24:57.091324+00:00,True,398278,excitatory_neuron,5P-NP
593391,2020-09-28 22:45:25.240604+00:00,True,487.02127,338592,218000,25036,,,,,,,111344451444068069,864691135640087611,76,2024-02-01 19:24:57.092499+00:00,True,593391,inhibitory_neuron,MC
496333,2020-09-28 22:41:28.685163+00:00,True,399.7049,294752,205248,16091,,,,,,,105291020316745076,864691135013369590,77,2024-02-01 19:24:57.092994+00:00,True,496333,inhibitory_neuron,MC
363551,2020-09-28 22:44:28.636073+00:00,True,255.1033,226752,151088,21625,,,,,,,95924693814667999,864691135992695176,78,2024-02-01 19:24:57.093480+00:00,True,363551,excitatory_neuron,4P
423001,2020-09-28 22:44:09.294851+00:00,True,221.15974,246560,139792,15174,,,,,,,98667562136883359,864691135865548933,79,2024-02-01 19:24:57.093955+00:00,True,423001,excitatory_neuron,4P
533434,2020-09-28 22:44:25.093302+00:00,True,250.37848,303968,212768,26812,,,,,,,106558689913356878,864691135105350733,80,2024-02-01 19:24:57.094439+00:00,True,533434,excitatory_neuron,6P-IT
201386,2020-09-28 22:44:43.806409+00:00,True,277.25906,132832,221552,21865,,,,,,,83056696918200454,864691135779073469,81,2024-02-01 19:24:57.094919+00:00,True,201386,excitatory_neuron,6P-IT
566200,2020-09-28 22:43:23.757880+00:00,True,356.188,316384,237696,22529,,,,,,,108250837704880382,864691136144673588,82,2024-02-01 19:24:57.095404+00:00,True,566200,excitatory_neuron,6P-IT
463704,2020-09-28 22:43:04.119774+00:00,True,408.8665,264096,208464,20045,,,,,,,101069308519642600,864691136419556247,83,2024-02-01 19:24:57.095887+00:00,True,463704,excitatory_neuron,6P-IT
339363,2020-09-28 22:45:15.447723+00:00,True,348.3602,207648,212240,18037,,,,,,,93329296147542493,864691135392391922,84,2024-02-01 19:24:57.096372+00:00,True,339363,inhibitory_neuron,BC
566847,2020-09-28 22:41:02.750959+00:00,True,339.9475,315488,241728,26546,,,,,,,108181019253297645,864691136000768458,85,2024-02-01 19:24:57.096846+00:00,True,566847,inhibitory_neuron,BC
558962,2020-09-28 22:45:23.448135+00:00,True,423.44858,314416,166464,22339,,,,,,,108030179464859330,864691135919641520,86,2024-02-01 19:24:57.097354+00:00,True,558962,excitatory_neuron,5P-IT
306375,2020-09-28 22:44:59.678578+00:00,True,306.1814,185824,227824,18073,,,,,,,90305501732243268,864691136674478983,87,2024-02-01 19:24:57.097850+00:00,True,306375,excitatory_neuron,6P-CT
371011,2020-09-28 22:45:19.292703+00:00,True,370.39932,217376,212720,15353,,,,,,,94666370604103580,864691136175501062,88,2024-02-01 19:24:57.098360+00:00,True,371011,inhibitory_neuron,MC
302380,2020-09-28 22:44:59.177698+00:00,True,304.03232,181232,204368,17459,,,,,,,89669021871485328,864691135720049201,89,2024-02-01 19:24:57.098857+00:00,True,302380,inhibitory_neuron,BC
372466,2020-09-28 22:45:21.396551+00:00,True,391.91217,221552,212064,24280,,,,,,,95229184326261652,864691135947700321,90,2024-02-01 19:24:57.099369+00:00,True,372466,excitatory_neuron,5P-IT
522933,2020-09-28 22:41:08.583599+00:00,True,274.8493,298304,156144,27209,,,,,,,105777005932437049,864691136741192284,91,2024-02-01 19:24:57.099871+00:00,True,522933,excitatory_neuron,5P-IT
233039,2020-09-28 22:45:23.218047+00:00,True,414.92743,155888,193856,24591,,,,,,,86219579956703665,864691135279936161,92,2024-02-01 19:24:57.100371+00:00,True,233039,excitatory_neuron,5P-IT
593871,2020-09-28 22:41:24.588338+00:00,True,317.6566,337760,225536,16467,,,,,,,111204743673688714,864691135013951222,93,2024-02-01 19:24:57.100862+00:00,True,593871,inhibitory_neuron,BC
559505,2020-09-28 22:41:06.453944+00:00,True,447.73523,325424,163680,26816,,,,,,,109507580098999387,864691135684539319,94,2024-02-01 19:24:57.101474+00:00,True,559505,excitatory_neuron,5P-IT
269407,2020-09-28 22:45:13.756473+00:00,True,344.21506,175200,222848,21194,,,,,,,88897440056622328,864691135369189881,95,2024-02-01 19:24:57.101957+00:00,True,269407,inhibitory_neuron,BC
309798,2020-09-28 22:44:32.978416+00:00,True,262.46136,182576,248768,26806,,,,,,,89886107906615496,864691135294408716,96,2024-02-01 19:24:57.102451+00:00,True,309798,excitatory_neuron,6P-CT
660840,2020-09-28 22:43:31.611295+00:00,True,381.6258,361152,170144,19460,,,,,,,114434215885422973,864691135655070402,97,2024-02-01 19:24:57.102952+00:00,True,660840,excitatory_neuron,5P-IT
666449,2020-09-28 22:40:56.933960+00:00,True,384.658,368752,192672,24892,,,,,,,115492771376537215,864691136090066999,98,2024-02-01 19:24:57.103458+00:00,True,666449,excitatory_neuron,5P-IT
435670,2020-09-28 22:44:57.444698+00:00,True,300.6941,252384,239232,18469,,,,,,,99454950370795638,864691135367601913,99,2024-02-01 19:24:57.103954+00:00,True,435670,inhibitory_neuron,MC
160388,2020-09-28 22:41:10.379890+00:00,True,241.42413,119728,170784,27206,,,,,,,81220307079269633,864691135986916867,100,2024-02-01 19:24:57.104466+00:00,True,160388,excitatory_neuron,4P
339652,2020-09-28 22:44:55.281008+00:00,True,296.51517,203536,210112,19731,,,,,,,92766002798207799,864691135182837250,101,2024-02-01 19:24:57.104960+00:00,True,339652,excitatory_neuron,6P-IT
84632,2020-09-28 22:42:54.346057+00:00,True,260.66238,88336,232112,20934,,,,,,,76935990430173388,864691136811817843,102,2024-02-01 19:24:57.105468+00:00,True,84632,excitatory_neuron,6P-CT
167072,2020-09-28 22:41:02.927723+00:00,True,289.1335,129936,224928,20256,,,,,,,82634896568592579,864691136672845191,103,2024-02-01 19:24:57.105980+00:00,True,167072,inhibitory_neuron,MC
131950,2020-09-28 22:44:04.839831+00:00,True,214.77655,103824,246112,15439,,,,,,,79048976229360684,864691136618478989,104,2024-02-01 19:24:57.106481+00:00,True,131950,excitatory_neuron,6P-IT
205850,2020-09-28 22:41:40.555061+00:00,True,249.29321,133552,245616,26292,,,,,,,83130296081563713,864691135838178963,105,2024-02-01 19:24:57.106969+00:00,True,205850,inhibitory_neuron,MC
127316,2020-09-28 22:43:24.365961+00:00,True,319.42657,112080,220992,23300,,,,,,,80171509888631018,864691135013738486,106,2024-02-01 19:24:57.107467+00:00,True,127316,excitatory_neuron,6P-CT
81124,2020-09-28 22:44:59.158575+00:00,True,303.97546,92736,221808,15902,,,,,,,77567934133786026,864691135341897157,107,2024-02-01 19:24:57.107945+00:00,True,81124,excitatory_neuron,6P-CT
499228,2020-09-28 22:44:49.483179+00:00,True,286.42114,286704,219728,21344,,,,,,,104167045226499040,864691135772665931,108,2024-02-01 19:24:57.108431+00:00,True,499228,excitatory_neuron,6P-IT
206457,2020-09-28 22:44:51.417573+00:00,True,289.69092,132192,260752,16922,,,,,,,82991550249893827,864691135463007550,109,2024-02-01 19:24:57.108911+00:00,True,206457,excitatory_neuron,6P-IT
590927,2020-09-28 22:44:22.784248+00:00,True,246.00314,331536,194720,22998,,,,,,,110356127661225970,864691135510643408,110,2024-02-01 19:24:57.109400+00:00,True,590927,excitatory_neuron,6P-IT
531206,2020-09-28 22:42:56.090908+00:00,True,254.2202,302208,208288,23794,,,,,,,106346964802925311,864691135502808157,111,2024-02-01 19:24:57.110028+00:00,True,531206,excitatory_neuron,6P-CT
234956,2020-09-28 22:44:07.244063+00:00,True,219.17056,153216,222064,24589,,,,,,,85871515807028398,864691135517442003,112,2024-02-01 19:24:57.110536+00:00,True,234956,excitatory_neuron,6P-CT
498339,2020-09-28 22:45:08.096888+00:00,True,324.91766,287264,218880,15859,,,,,,,104237344513127081,864691135974798703,113,2024-02-01 19:24:57.111025+00:00,True,498339,inhibitory_neuron,MC
669051,2020-09-28 22:44:18.958690+00:00,True,239.87912,363696,201840,21625,,,,,,,114790320482432940,864691135873824142,114,2024-02-01 19:24:57.111536+00:00,True,669051,excitatory_neuron,6P-IT
304446,2020-09-28 22:44:06.435166+00:00,True,216.96086,183488,222672,18455,,,,,,,90023339627712413,864691135662430960,115,2024-02-01 19:24:57.112018+00:00,True,304446,inhibitory_neuron,BC
403099,2020-09-28 22:44:53.477032+00:00,True,293.54477,231216,211456,17646,,,,,,,96566120873776399,864691134918396682,116,2024-02-01 19:24:57.112522+00:00,True,403099,excitatory_neuron,6P-IT
