matrix_index,nucleus_id,pt_root_id,classification_system,cell_type,layer,brain_area,strategy_axon,strategy_dendrite,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id,cc_abs
0,260263,864691135694415551,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,620.0538654218548,292.5047448737744,810.6400000000002,9.0,3.0,2087.0,0.654134
1,260742,864691136006519498,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,654.261634304255,298.77400480524085,887.8800000000002,9.0,3.0,4919.0,0.333352
2,296508,864691135294520844,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,670.1099413292117,304.14370912137485,822.5200000000002,9.0,3.0,4890.0,0.225814
3,296800,864691136905758130,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,708.944706691632,299.3822632017234,904.3200000000003,9.0,3.0,4894.0,0.358407
4,296513,864691135725842603,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,679.6022840512328,287.43544129829706,834.2400000000002,9.0,3.0,4892.0,0.312397
5,260855,864691134949081852,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,663.2192724748032,286.7088026765761,901.4800000000002,9.0,3.0,2063.0,0.614389
6,426435,864691135569902316,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,949.8394182253581,293.0254310438876,965.7600000000002,9.0,3.0,1828.0,0.233048
7,394760,864691135988742147,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,895.7646912306514,316.305094195401,871.4000000000002,9.0,3.0,8114.0,0.451468
8,260628,864691135375888840,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,642.8078410742587,302.654507433057,856.6400000000002,9.0,3.0,5297.0,0.579336
9,260303,864691134966714655,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,628.7909571743838,299.1153880881591,805.7600000000002,9.0,3.0,2518.0,0.343289
10,296750,864691135480916422,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,682.073786244631,300.30783023384544,903.3200000000003,9.0,3.0,5104.0,0.425021
11,194600,864691135927381774,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,481.44604835360946,309.0311656470652,803.8000000000003,9.0,3.0,5306.0,0.547945
12,260651,864691135751110185,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,662.4813622742564,292.9402019204,847.0800000000003,9.0,3.0,2059.0,0.228559
13,296879,864691136484732972,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,680.1125092022871,302.89875291952603,929.4000000000002,9.0,3.0,8362.0,0.564832
14,260625,864691136043283030,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,642.9863360354059,300.6143006913651,866.3200000000003,9.0,3.0,5108.0,0.463883
15,260617,864691136275894285,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,628.5295730321677,300.63438720935625,843.5200000000002,9.0,3.0,2090.0,0.415822
16,296734,864691135760106830,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,670.9162321603724,283.91299803412966,903.1600000000002,9.0,3.0,4922.0,0.526618
17,226449,864691136664127454,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,591.7348987676851,295.2952028361934,922.8000000000003,9.0,3.0,4981.0,0.351236
18,296668,864691135465343045,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,705.8868532187548,304.96098242197576,868.3600000000002,9.0,3.0,5332.0,0.540758
19,298916,864691135577816862,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,679.2120576112317,312.45664405367086,872.2400000000002,9.0,3.0,8134.0,0.567136
20,260621,864691135782506832,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,642.5486822841947,289.4617177083047,867.0800000000003,9.0,3.0,2243.0,0.641245
21,260648,864691135765013302,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,658.8154525180944,300.32881272755964,861.8400000000003,9.0,3.0,4917.0,0.603284
22,330154,864691135779020221,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,790.4924568702594,310.8853908113861,760.4800000000001,9.0,3.0,5311.0,0.570164
23,260689,864691136975624220,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,617.6191258271781,288.75828693245006,897.6400000000002,9.0,3.0,2091.0,0.370833
24,262547,864691135102433056,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,646.2046211903935,316.7000036807027,805.8000000000003,9.0,3.0,5524.0,0.348536
25,296578,864691135258563503,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,725.6050559809164,299.8761878508764,828.8400000000003,9.0,3.0,2001.0,0.30871
26,260839,864691136052738803,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,651.0641581773502,290.52794766149793,929.3600000000002,9.0,3.0,5476.0,0.450346
27,260799,864691136913993713,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,611.6603823043963,296.6529899433115,913.7200000000003,9.0,3.0,5309.0,0.243055
28,260533,864691136177799686,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,638.9178588190625,298.6522433170523,821.6000000000003,9.0,3.0,2709.0,0.336281
29,333112,864691136033332155,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,726.8811389920738,313.92888055187285,901.5600000000003,9.0,3.0,7759.0,0.116457
30,262698,864691135294441654,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,647.0118079972771,305.2708633167563,837.2000000000003,9.0,3.0,5337.0,0.666945
31,296731,864691135466236229,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,669.0635087846242,301.41813488286516,887.2800000000002,9.0,3.0,4920.0,0.358686
32,330853,864691136091074615,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,790.4573127573524,303.9439133828176,951.2800000000002,9.0,3.0,8608.0,0.393462
33,298809,864691135504168285,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,691.7449708590619,312.39673143095996,837.3600000000002,9.0,3.0,8333.0,0.56257
34,194599,864691135276505573,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,482.0658674383035,290.19751872719735,809.3600000000002,9.0,3.0,2633.0,0.368504
35,394177,864691135503443549,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,866.7148951855313,317.1685232526598,725.0800000000002,9.0,3.0,8020.0,0.557178
36,363525,864691136107283417,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,835.6023492410674,297.5502326835602,870.4800000000002,9.0,3.0,4780.0,0.372529
37,262775,864691136085781356,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,614.4674585256686,314.5015619614862,868.8400000000003,9.0,3.0,8002.0,0.673148
38,260729,864691135611019015,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,649.24863080103,284.8440852119103,899.8000000000003,9.0,3.0,2586.0,0.298862
39,298437,864691135808925981,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,710.7779795900369,323.9555522465375,746.7600000000001,9.0,3.0,7754.0,0.279457
40,329901,864691136954028511,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,753.1637427425186,298.4325923480122,727.0000000000001,9.0,3.0,2649.0,0.611138
41,194481,864691137199050049,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,498.00850868878626,321.6587308773738,761.0400000000001,9.0,3.0,8224.0,0.01085
42,260682,864691136313406781,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,612.5345625435871,289.5983346782111,886.4800000000002,9.0,3.0,2552.0,0.604172
43,298548,864691135499231763,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,697.2512343232254,321.42298151963024,765.9600000000002,9.0,3.0,5700.0,0.257367
44,194320,864691136725093373,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,498.33419833614073,298.10950468512686,737.4400000000002,9.0,3.0,2895.0,0.630887
45,296873,864691135455819114,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,677.2226594436999,294.808098534818,924.4400000000003,9.0,3.0,5748.0,0.182079
46,227723,864691136975300636,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,586.0089270393485,308.60680618689054,730.5600000000002,9.0,3.0,4941.0,0.562594
47,227810,864691136025504569,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,574.9776721437703,326.015614745456,761.9600000000002,9.0,3.0,7875.0,0.517983
48,262773,864691136023889209,excitatory_neuron,4P,L4,V1,axon_interareal,dendrite_extended,613.3651884838455,307.2739897027744,860.1200000000002,9.0,3.0,7844.0,0.878076
49,260842,864691135465113157,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,655.381967625115,282.29694811267063,905.1600000000002,9.0,3.0,2065.0,0.485694
50,394838,864691135339729894,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,865.7696463885576,311.81777819128575,896.1600000000002,9.0,3.0,8539.0,0.562712
51,330181,864691135868060950,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,738.8759372511706,298.7244386113224,784.2800000000001,9.0,3.0,2669.0,0.703397
52,194361,864691136210847932,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,512.5998654229764,313.49137214547017,730.2400000000001,9.0,3.0,5431.0,0.628265
53,262654,864691135474504498,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,623.1948393633094,308.0054837819396,817.7200000000003,9.0,3.0,4946.0,0.565656
54,425525,864691136311529306,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,932.993435343453,297.59057865843,731.2000000000002,9.0,3.0,2691.0,0.615976
55,260895,864691135810982860,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,622.8367799996607,287.86563866108264,956.9200000000003,9.0,3.0,2092.0,0.448712
56,260632,864691136012739747,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,650.1444582221496,289.29108388872254,860.4400000000003,9.0,3.0,2599.0,0.636701
57,394030,864691135742189163,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,871.4755894207804,289.1889744643311,709.0000000000001,9.0,3.0,1842.0,0.62583
58,330802,864691135374981320,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,758.9830948987812,297.27136348107814,957.1600000000003,9.0,3.0,5393.0,0.669828
59,426549,864691136380266965,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,945.6593238364206,287.19894025615145,982.0400000000003,9.0,3.0,2559.0,0.268523
60,362831,864691135271463077,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,819.815457680882,296.6187699269503,725.2000000000002,9.0,3.0,2485.0,0.461205
61,363868,864691135430486576,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,847.6842852723396,306.3166014720748,940.3600000000002,9.0,3.0,8185.0,0.325814
62,394229,864691134886499066,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,905.9830657080558,300.11005720749876,741.1600000000001,9.0,3.0,2441.0,0.382329
63,329980,864691134966069023,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,782.8406699694375,291.1353387298241,728.1200000000001,9.0,3.0,2610.0,0.156147
64,363864,864691136953677535,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,842.0840923357897,307.175781938227,953.4400000000003,9.0,3.0,7686.0,0.151175
65,299068,864691136058745048,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,689.6028000377871,316.32096182333987,881.6800000000003,9.0,3.0,7793.0,0.431071
66,333154,864691135592830731,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,744.5201470616697,314.25144887135195,891.7600000000002,9.0,3.0,7761.0,0.309628
67,298950,864691136211371452,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,704.2691848114811,318.310793391578,848.4800000000002,9.0,3.0,7792.0,0.258368
68,363867,864691135375590217,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,846.8123303853009,298.6594678912255,944.6800000000003,9.0,3.0,5730.0,0.174972
69,227555,864691136125440038,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,585.2980107007578,305.7178524040265,706.9600000000002,9.0,3.0,4938.0,0.355149
70,363613,864691135583172717,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,811.8850036907761,300.6147913872047,894.3200000000003,9.0,3.0,4807.0,0.567629
71,263131,864691135360809560,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,630.0701615134166,307.2578626665044,945.6400000000002,9.0,3.0,8236.0,0.314382
72,395083,864691136101516661,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,867.6639299985944,304.8523704067589,946.4400000000003,9.0,3.0,8051.0,0.346337
73,298919,864691135725748139,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,683.1250742466628,309.5867651693208,865.0000000000002,9.0,3.0,8289.0,0.500855
74,296779,864691135280682401,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,696.5544217819503,297.0776088118173,877.0400000000003,9.0,3.0,2036.0,0.571778
75,363845,864691135763795510,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,823.6025220588951,290.7826260462029,952.0000000000002,9.0,3.0,1952.0,0.414502
76,330839,864691135646481135,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,781.9266058036499,294.9742811233517,956.0400000000003,9.0,3.0,4837.0,0.44551
77,296680,864691136239902780,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,711.3124528540014,298.75423604420183,847.6400000000002,9.0,3.0,2002.0,0.362269
