analysis,cohort,question,effect,ci_low,ci_high,statistic,p_value,interpretation_short
H1,906,Are directly connected pairs more functionally correlated?,0.03341120712945433,0.030746288705688785,0.03601845657004082,20.61188805937738,9.999000099990002e-05,Supported: connected pairs have a modest but robustly higher signal correlation.
H2,906 connected pairs,Does synapse strength grade functional similarity?,0.06862793862593908,0.050120445697185004,0.0863885358754767,7.254300264851768,0.0001999600079984003,Supported but weak: stronger connected pairs are only slightly more correlated.
H3,906,Are reciprocal pairs more functionally similar than unidirectional pairs?,0.012557948327879292,,,1.3631265245429836,0.09038192361527694,"Partially supported: reciprocal pairs exceed unconnected pairs, but bi > uni is not detected."
H4,906,distance-matched,0.018626214985768955,0.015023368803268258,0.022272274690575397,,2.5382997480783525e-23,Supported: the connected-pair effect shrinks under distance matching but remains positive.
H7 / topology,906,Are structural hubs also functional hubs?,0.10954215562122328,,,0.0119994838581443,0.0009579571116966421,Limited support: narrow signed hub coupling is weak and sensitivity-dependent.
thresholded topology,906,Do structural and functional graphs have similar topology at matched density?,0.008211275089284228,,,0.28725279666490655,0.8050467894563588,Exploratory: topology similarity depends strongly on functional-threshold definition.
93-neuron sanity,"scan 9.3 V1 L4, 93 neurons",Does connected > unconnected hold in a same-scan trace-correlation cohort?,0.025823829441046605,0.018244823633076692,0.03418241247907029,0.710505108517155,4.800529847919452e-18,Supported: same-scan trace-correlation sanity check agrees with H1.
area comparison,906 V1 (within),Does connected > unconnected hold within or across areas?,0.02314293144645578,0.020362967392137672,0.025927672222886174,0.17242917986279804,1.852645341622765e-57,Exploratory V1 (within): effect size d=+0.17.
area comparison,906 RL (within),Does connected > unconnected hold within or across areas?,0.017229483641179984,-0.00046969576897891213,0.03483144028671669,0.11668722868243835,0.02822085910361659,Exploratory RL (within): effect size d=+0.12.
area comparison,906 AL (within),Does connected > unconnected hold within or across areas?,0.011501842088245357,-0.02296835939866182,0.045615278076503556,0.06887121899428707,0.23776999082282574,Exploratory AL (within): effect size d=+0.07.
area comparison,906 cross-area,Does connected > unconnected hold within or across areas?,0.04800093489594947,0.03787858518392445,0.05866136165865657,0.34500284188798347,5.259409068219948e-20,Exploratory cross-area: effect size d=+0.35.
