cohort,functional_metric,structural_metric,controls,test_role,rho,p_value,n_neurons,rank_variance_approx,q_bh_all_tests
all_906,mean_fcorr_signed,total_degree,raw,exploratory,0.16699872513683223,4.298624104593104e-07,906,0.02788857419732724,1.2895872313779313e-05
all_906,mean_fcorr_signed,total_degree,distance,exploratory,0.11741130536309383,0.00039795328763322306,906,0.013785414627065664,0.0034410515463263623
all_906,mean_fcorr_signed,total_degree,distance+area,exploratory,0.09920984452336921,0.0027947552286597356,906,0.009842593250351092,0.014795762975257424
all_906,mean_fcorr_signed,total_degree,distance+area+cell_type,exploratory,0.05563894388678613,0.094188096673023,906,0.0030956920768369354,0.17660268126191814
all_906,mean_fcorr_signed,total_degree,distance+area+layer,strict_layer_sensitivity,0.05994361471025861,0.07132168576289627,906,0.0035932369445319324,0.14362913127335514
all_906,mean_fcorr_signed,total_strength,raw,exploratory,0.1680334901425103,3.6375382796634635e-07,906,0.0282352538094731,1.2895872313779313e-05
all_906,mean_fcorr_signed,total_strength,distance,exploratory,0.12234098874728071,0.0002231690519652831,906,0.014967317527662265,0.002231690519652831
all_906,mean_fcorr_signed,total_strength,distance+area,primary,0.10954215562122328,0.0009579571116966421,906,0.0119994838581443,0.006632010773284445
all_906,mean_fcorr_signed,total_strength,distance+area+cell_type,exploratory,0.06496680263957491,0.05060010168983822,906,0.004220685445209478,0.11750440771845733
all_906,mean_fcorr_signed,total_strength,distance+area+layer,strict_layer_sensitivity,0.06837131117557094,0.039635078985811166,906,0.004674636191866751,0.1114736596475939
all_906,mean_fcorr_signed,in_degree,raw,exploratory,0.18736222468955485,1.3298956180492594e-08,906,0.03510460324061924,1.1969060562443335e-06
all_906,mean_fcorr_signed,in_degree,distance,exploratory,0.1490250270093244,6.649424420689502e-06,906,0.02220845867512987,0.00011968963957241104
all_906,mean_fcorr_signed,in_degree,distance+area,exploratory,0.12731951608041836,0.00012171106568777941,906,0.01621025917495191,0.0015648565588428781
all_906,mean_fcorr_signed,in_degree,distance+area+cell_type,exploratory,0.07756439477965654,0.019544953446456556,906,0.006016235337534411,0.06315018618541225
all_906,mean_fcorr_signed,in_degree,distance+area+layer,exploratory,0.0727499396649939,0.028550360354879477,906,0.005292553721260254,0.08565108106463844
all_906,mean_fcorr_signed,out_degree,raw,exploratory,0.10427152182842604,0.0016734409076567382,906,0.010872550264415928,0.01004064544594043
all_906,mean_fcorr_signed,out_degree,distance,exploratory,0.031838562790228855,0.33843851740705383,906,0.0010136940805473454,0.46771736333204333
all_906,mean_fcorr_signed,out_degree,distance+area,exploratory,0.030465142398874982,0.35969713002959647,906,0.0009281249013837301,0.47049500401109084
all_906,mean_fcorr_signed,out_degree,distance+area+cell_type,exploratory,0.020637533268364733,0.534997891443681,906,0.00042590777940286115,0.6124102324326774
all_906,mean_fcorr_signed,out_degree,distance+area+layer,exploratory,0.031201994617487135,0.34818959270274336,906,0.0009735644681096961,0.46771736333204333
all_906,mean_fcorr_signed,in_strength,raw,exploratory,0.16292462304904912,8.214076419429423e-07,906,0.026544432795674748,1.8481671943716202e-05
