test,n_conn,n_none,mean_diff,ci_lo,ci_hi,cohens_d,U,p_one_sided,spearman_rho,p_spearman,n_connected,n_bi,n_uni,mean_bi,mean_uni,mean_none,beta_fcorr,se_fcorr,p_fcorr,mean_diff_ori_sim,p_ori_sim,beta_fcorr_joint,beta_orisim_joint,n_pairs,spearman_deg,p_deg,partial_spearman_deg|dist,p_partial_deg|dist,spearman_str,p_str,partial_spearman_str|dist,p_partial_str|dist,z_bidirectional,z_reciprocity,z_transitive
H1 connected > unconnected,11580.0,398385.0,0.033434815161929296,0.030767978007553008,0.03614435910881773,0.24370097745925778,2614451962.0,4.7577074949875295e-133,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 synapse-size gradient,,,,,,,,,0.06896271695366459,1.0929744156564824e-13,11580.0,,,,,,,,,,,,,,,,,,,,,,,,
H3 reciprocity,,398385.0,,,,,,,,,,242.0,11338.0,0.06798985769847711,0.05543190937059782,0.022256473785677765,,,,,,,,,,,,,,,,,,,
H4 distance-matched,,,0.018508856622615474,0.0148631026545503,0.022140665876527778,,,4.357940798406679e-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4 logistic (f_corr | dist),,,,,,,,,,,,,,,,,0.905034374990862,0.06661188091739045,4.803750443892824e-42,,,,,,,,,,,,,,,,
H5 joint logistic,,,,,,,,,,,,,,,,,0.12958754586263332,0.009186322137923014,3.459757376923594e-45,,,,,,,,,,,,,,,,
H6 orientation,,,,,,,,,,,,,,,,,,,,0.0543799122140162,3.749016978295363e-13,0.12167689095341443,0.035349044557655446,320400.0,,,,,,,,,,,
H7 hub coupling,,,,,,,,,,,,,,,,,,,,,,,,,0.16699872513683223,4.2986241045931094e-07,0.11741130536309381,0.000397953287633215,0.1680334901425103,3.6375382796634646e-07,0.12234098874728075,0.00022316905196527337,,,
H8 motifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.746959199475642,12.360611942428958,41.447885677418355
93-neuron bookend,,,0.025740689661753087,,,,,4.800529847919452e-18,,,,,,,,,,,,,,,,4278.0,,,,,,,,,,,
