hypothesis,test,mean_diff,ci_lo,ci_hi,p,note
H4,raw H1 (no control),0.033421108698610306,0.030847333814435145,0.03610729005701876,,"baseline, included for shrinkage comparison"
H4,distance-matched,0.01849878478205679,0.014695740778447052,0.02213434897227216,4.357940798406679e-23,n_matched=11580
H4,within-bin Q1,0.02143653720562731,0.01760544049359637,0.025170305174439515,8.809003776301068e-27,"BH q=4.4e-26; n_conn=6120, n_unconn=75873"
H4,within-bin Q2,0.01530399587889518,0.009886098764549383,0.02071914481321665,2.4664094270387928e-09,"BH q=4.1e-09; n_conn=2786, n_unconn=79207"
H4,within-bin Q3,0.01970592585823321,0.01312716179020517,0.02641797682793402,1.0642224020166717e-09,"BH q=2.7e-09; n_conn=1684, n_unconn=80309"
H4,within-bin Q4,0.01825868080813995,0.008854641405913338,0.028088423094077983,0.0001317846022157018,"BH q=1.3e-04; n_conn=739, n_unconn=81254"
H4,within-bin Q5,0.031495700418638244,0.015074635786627516,0.04827717370496193,7.262639171504261e-05,"BH q=9.1e-05; n_conn=251, n_unconn=81742"
H4,"logistic β(f_corr | dist, dist²)",0.9050343749908617,0.7744750883927757,1.0355936615889476,4.803750443898246e-42,"connected ~ f_corr + dist + dist², HC0 SE"
H5,stratum same_area=True,0.023320503436694732,0.0205742462032658,0.0260825769483556,2.2998661988842376e-59,"n_conn=10844, n_unconn=262705"
H5,stratum same_area=False,0.04772086821093235,0.037041133544207204,0.05813202153418078,5.2594090682199476e-20,"n_conn=736, n_unconn=135680"
H5,stratum same_layer=True,0.03422964033924418,0.029979510323674484,0.03842108306509675,6.971655000118236e-54,"n_conn=4929, n_unconn=129295"
H5,stratum same_layer=False,0.030453232148954196,0.026974609882154662,0.03406445666787977,6.975206365100989e-71,"n_conn=6651, n_unconn=269090"
H5,stratum same_celltype=True,0.03293733915428197,0.02882856979949197,0.036892295347606296,5.497336628372136e-53,"n_conn=4993, n_unconn=129731"
H5,stratum same_celltype=False,0.031015270639453498,0.027558998996878782,0.03457206465166718,3.269074669112685e-70,"n_conn=6587, n_unconn=268654"
H5,"joint logistic β(f_corr | dist, area, layer, celltype)",0.12958754586263332,0.11158235447230422,0.14759273725296243,3.459757376923594e-45,standardised continuous; HC0 SE
H6,marginal Δ ori_sim (connected − unconnected),0.054348471934504004,0.03885072150188469,0.07016426657847825,3.749016978295363e-13,"gOSI_min > 0.1;  n_conn=9071, n_unconn=311329"
H6,"joint logistic β(f_corr | ori_sim, dist)",0.12167689095341443,0.10133504642287704,0.1420187354839518,9.608849461550803e-32,standardised; well-tuned subset
H6,"joint logistic β(ori_sim | f_corr, dist)",0.035349044557655446,0.014049635789414202,0.056648453325896686,0.0011424727025442327,standardised; well-tuned subset
